date,vix,peak_10d,off_peak_%,status,gap_to_nearest_raw_TD,nearest_raw_date,abs_gap,close_to_raw,year
2020-03-24,61.66999816894531,82.69000244140625,25.420248702200265,blocked_by_extreme,-14,2020-03-04,14,False,2020
2020-03-25,63.95000076293945,82.69000244140625,22.662959396749173,blocked_by_extreme,13,2020-04-14,13,False,2020
2020-03-26,61.0,82.69000244140625,26.23050163382893,blocked_by_extreme,12,2020-04-14,12,False,2020
2020-03-27,65.54000091552734,82.69000244140625,20.74011491054353,blocked_by_extreme,11,2020-04-14,11,False,2020
2020-03-30,57.08000183105469,76.44999694824219,25.33681607639734,blocked_by_extreme,10,2020-04-14,10,False,2020
2020-03-31,53.540000915527344,76.44999694824219,29.967294895021723,blocked_by_extreme,9,2020-04-14,9,False,2020
2020-04-01,57.060001373291016,72.0,20.749998092651367,blocked_by_extreme,8,2020-04-14,8,False,2020
2020-04-02,50.90999984741211,66.04000091552734,22.910358658941,blocked_by_extreme,7,2020-04-14,7,False,2020
2020-04-03,46.79999923706055,65.54000091552734,28.593227672700607,blocked_by_extreme,6,2020-04-14,6,False,2020
2020-04-06,45.2400016784668,65.54000091552734,30.97344973068378,blocked_by_extreme,5,2020-04-14,5,False,2020
2020-04-07,46.70000076293945,65.54000091552734,28.74580392037259,blocked_by_extreme,4,2020-04-14,4,False,2020
2020-04-08,43.349998474121094,65.54000091552734,33.85718970313461,blocked_by_extreme,3,2020-04-14,3,True,2020
2020-04-09,41.66999816894531,65.54000091552734,36.42051024281706,blocked_by_extreme,2,2020-04-14,2,True,2020
2020-04-13,41.16999816894531,57.08000183105469,27.873165998136763,blocked_by_extreme,1,2020-04-14,1,True,2020
2020-04-15,40.84000015258789,57.060001373291016,28.426219471308112,blocked_by_extreme,-1,2020-04-14,1,True,2020
2020-04-16,40.11000061035156,50.90999984741211,21.21390545949793,blocked_by_extreme,1,2020-04-17,1,True,2020
2025-04-10,40.720001220703125,52.33000183105469,22.18612689491963,blocked_by_extreme,-1,2025-04-09,1,True,2025
