strategy,underlying,entry_date,exit_date,entry_spx,exit_spx,entry_vix,entry_credit,exit_pnl,exit_reason,dte_at_entry,dte_at_exit,spread_width,option_premium,bp_per_contract,contracts,total_bp,bp_pct_account,open_at_end
Bull Call Diagonal,SPX,2024-11-08,2024-12-13,5995.5400390625,6051.08984375,14.9399995803833,288.4632669291425,1255.2287963969954,roll_21dte,45,21,0.0,28846.32669291425,28846.32669291425,0.52,15000.0,10.0,False
Bull Call Diagonal,SPX,2024-12-13,2024-12-18,6051.08984375,5872.16015625,13.8100004196167,270.18393041205036,661.9123239734248,trend_flip,45,42,0.0,27018.393041205036,27018.393041205036,0.5552,15000.0,10.0,False
Bull Call Diagonal,SPX,2024-12-24,2024-12-31,6040.0400390625,5881.6298828125,14.270000457763672,279.43252312401796,-2436.5132162731834,trend_flip,45,41,0.0,27943.252312401797,27943.252312401797,0.5368,15000.0,10.0,False
Bull Put Spread,SPX,2025-01-21,2025-02-03,6049.240234375,5994.56982421875,15.0600004196167,-36.53365443744144,-1446.8871887652726,roll_21dte,30,21,155,3653.365443744144,11846.634556255856,1.2662,15000.0,10.0,False
Iron Condor,SPX,2024-12-30,2025-02-05,5906.93994140625,6061.47998046875,17.399999618530273,-41.99610097272108,2624.439623236351,50pct_profit,45,21,199,4199.610097272108,15700.389902727891,0.9554,15000.0,10.0,False
Bull Put Spread,SPX,2025-02-06,2025-02-20,6083.56982421875,6117.52001953125,15.5,-37.908441640884234,1224.1041409275074,roll_21dte,30,21,161,3790.8441640884234,12309.155835911577,1.2186,15000.0,10.0,False
Bull Call Diagonal,SPX,2025-02-14,2025-02-25,6114.6298828125,5955.25,14.770000457763672,290.62900572428407,-1824.2947416728878,trend_flip,45,39,0.0,29062.900572428407,29062.900572428407,0.5161,15000.0,10.0,False
Bull Put Spread,SPX,2025-02-20,2025-03-05,6117.52001953125,5842.6298828125,15.65999984741211,-38.49281686059999,-6253.231872644994,roll_21dte,30,21,163,3849.2816860599987,12450.71831394,1.2047,15000.0,10.0,False
Iron Condor,SPX,2025-02-21,2025-03-27,6013.1298828125,5693.31005859375,18.209999084472656,-44.38562136820417,-737.3427884453349,roll_21dte,45,21,212,4438.562136820417,16761.437863179584,0.8949,15000.0,10.0,False
Iron Condor (High Vol),SPX,2025-04-09,2025-04-24,5456.89990234375,5484.77001953125,33.619998931884766,-49.756039143538516,732.4963858626489,50pct_profit,45,35,555,4975.603914353852,50524.39608564615,0.2078,10500.0,7.0,False
Iron Condor (High Vol),SPX,2025-04-14,2025-04-29,5405.97021484375,5560.830078125,30.889999389648438,-45.67999919895283,675.6765059290524,50pct_profit,45,35,496,4567.999919895283,45032.00008010471,0.2332,10500.0,7.0,False
Iron Condor,SPX,2025-03-27,2025-05-01,5693.31005859375,5604.14013671875,18.690000534057617,-42.887835108104696,502.90020415186956,roll_21dte,45,21,206,4288.78351081047,16311.21648918953,0.9196,15000.0,10.0,False
Bull Put Spread (High Vol),SPX,2025-05-02,2025-05-13,5686.669921875,5886.5498046875,22.68000030517578,-32.120161879599436,1727.9704998326497,roll_up,35,28,194,3212.0161879599436,16187.983812040056,0.6486,10500.0,7.0,False
Iron Condor (High Vol),SPX,2025-04-24,2025-05-29,5484.77001953125,5912.169921875,26.469999313354492,-40.26556917601411,603.2677118373576,roll_21dte,45,21,428,4026.556917601411,38773.44308239859,0.2708,10500.0,7.0,False
Bull Put Spread,SPX,2025-05-16,2025-05-30,5958.3798828125,5911.68994140625,17.239999771118164,-41.330231267703994,-581.0571219157233,roll_21dte,30,21,175,4133.023126770399,13366.9768732296,1.1222,15000.0,10.0,False
Bull Put Spread,SPX,2025-06-03,2025-06-16,5970.3701171875,6033.10986328125,17.690000534057617,-42.97823130875622,1310.594371304624,roll_21dte,30,21,181,4297.823130875622,13802.176869124378,1.0868,15000.0,10.0,False
Bull Put Spread,SPX,2025-07-07,2025-07-18,6229.97998046875,6296.7900390625,17.790000915527344,-44.429723795616496,2087.1493208128586,roll_21dte,30,21,187,4442.97237956165,14257.02762043835,1.0521,15000.0,10.0,False
Bull Call Diagonal,SPX,2025-07-25,2025-08-28,6388.64013671875,6501.85986328125,14.930000305175781,307.0403655325806,2704.1257582017784,roll_21dte,45,21,0.0,30704.03655325806,30704.03655325806,0.4885,15000.0,10.0,False
Bull Put Spread,SPX,2025-09-02,2025-09-15,6415.5400390625,6615.27978515625,17.170000076293945,-44.36588519031886,3522.253233321365,roll_21dte,30,21,187,4436.588519031886,14263.411480968114,1.0516,15000.0,10.0,False
Bull Call Diagonal,SPX,2025-08-28,2025-10-02,6501.85986328125,6715.35009765625,14.430000305175781,302.0857967656855,5061.189327751963,roll_21dte,45,21,0.0,30208.579676568548,30208.579676568548,0.4965,15000.0,10.0,False
Bull Put Spread,SPX,2025-09-25,2025-10-08,6604.72021484375,6753.72021484375,16.739999771118164,-44.31968307518616,2809.432934358869,roll_21dte,30,21,187,4431.968307518617,14268.031692481383,1.0513,15000.0,10.0,False
Bull Put Spread,SPX,2025-10-23,2025-11-05,6738.43994140625,6796.2900390625,17.299999237060547,-46.686958315412085,1330.5044557373672,roll_21dte,30,21,197,4668.6958315412085,15031.304168458792,0.9979,15000.0,10.0,False
Iron Condor (High Vol),SPX,2025-11-17,2025-12-02,6672.41015625,6829.3701171875,22.3799991607666,-60.673002509070784,1752.3349395901657,50pct_profit,45,35,293,6067.300250907078,23232.69974909292,0.4519,10500.0,7.0,False
Iron Condor,SPX,2025-11-13,2025-12-03,6737.490234375,6849.72021484375,20.0,-54.31550911130739,2502.1006390061552,50pct_profit,45,32,257,5431.550911130739,20268.44908886926,0.7401,15000.0,10.0,False
Bull Put Spread,SPX,2025-11-26,2025-12-10,6812.60986328125,6886.68017578125,17.190000534057617,-46.96405487165089,2148.9345801010004,roll_21dte,30,21,198,4696.405487165089,15103.594512834912,0.9931,15000.0,10.0,False
Bull Call Diagonal,SPX,2025-12-11,2025-12-17,6901.0,6721.43017578125,14.850000381469727,331.26421156325523,-2442.308089554629,trend_flip,45,41,0.0,33126.42115632552,33126.42115632552,0.4528,15000.0,10.0,False
Bull Call Diagonal,SPX,2025-12-19,2026-01-20,6834.5,6796.85986328125,14.90999984741211,328.6040124394947,775.6055581536586,trend_flip,45,26,0.0,32860.40124394947,32860.40124394947,0.4565,15000.0,10.0,False
Iron Condor,SPX,2025-12-18,2026-01-22,6774.759765625,6913.35009765625,16.8700008392334,-46.45991624632154,2496.5167800939685,50pct_profit,45,23,219,4645.991624632154,17254.008375367845,0.8694,15000.0,10.0,False
Bull Put Spread,SPX,2026-01-14,2026-01-28,6926.60009765625,6978.02978515625,16.75,-46.73190468116127,1549.3650548489309,roll_21dte,30,21,197,4673.190468116127,15026.809531883873,0.9982,15000.0,10.0,False
Bull Put Spread,SPX,2026-01-29,2026-02-11,6969.009765625,6941.47021484375,16.8799991607666,-47.125683975616084,-12.023219509092323,roll_21dte,30,21,199,4712.568397561608,15187.431602438392,0.9877,15000.0,10.0,False
Iron Condor,SPX,2026-02-12,2026-03-19,6832.759765625,6606.490234375,20.81999969482422,-57.39142070896514,692.4743036547447,roll_21dte,45,21,273,5739.142070896514,21560.857929103484,0.6957,15000.0,10.0,False
Iron Condor (High Vol),SPX,2026-03-09,2026-04-06,6795.990234375,6611.830078125,25.5,-48.31322617880528,681.3694580225344,50pct_profit,45,26,504,4831.322617880528,45568.67738211947,0.2304,10500.0,7.0,False
Iron Condor (High Vol),SPX,2026-03-10,2026-04-08,6781.47998046875,6782.81005859375,24.93000030517578,-46.237014785574445,912.415727706528,50pct_profit,45,25,484,4623.701478557445,43776.29852144256,0.2399,10500.0,7.0,False
Bull Put Spread,SPX,2026-04-17,2026-04-30,7126.06005859375,7209.009765625,17.479999542236328,-50.107544892465285,1958.9582923033863,roll_21dte,30,21,211,5010.7544892465285,16089.245510753472,0.9323,15000.0,10.0,False
Iron Condor,SPX,2026-04-08,2026-05-01,6782.81005859375,7230.1201171875,21.040000915527344,-57.57633115603892,368.1276542569542,open_at_end,45,28,278,5757.633115603892,22042.36688439611,0.6805,15000.0,10.0,True
Bull Put Spread,SPX,2026-04-30,2026-05-01,7209.009765625,7230.1201171875,16.889999389648438,-48.890850960438456,328.82972479144803,open_at_end,30,29,206,4889.085096043846,15710.914903956154,0.9548,15000.0,10.0,True
