,sample,type,vix,ivp_252,vix_5d_change,ddath,ddath_change_5d,above_ma50,ma50_slope_5d,year,bk_vix,bk_ivp,bk_vix5d,bk_ddath,is_first_in_cluster,h1_cash,h2_bps_nnb_counterfactual,h3_short_dte_bps,h4_small_ic,h5_bcs,credit_est,max_loss,sigma_14d,fwd_ret,spx_fwd_5d,spx_fwd_10d,spx_fwd_20d,vix_fwd_5d,vix_fwd_10d,vix_fwd_20d,stress_in_next_5d,stress_in_next_10d,stress_in_next_20d,second_leg_in_next_20d,second_leg_in_next_60d
2024-09-18,primary,C_high_vol_controlled,18.229999542236328,87.25099601593625,0.5399990081787109,-0.00863573334289125,0.01131597272062912,1,6.893193359374891,2024,2_17-19,3_85+,3_rising,1_0_to_-2,False,3.138390880920761,15017.431023482139,1136.2549800796812,661.7529880478087,899.0039840637451,1186.2549800796812,1313.7450199203188,241.40831267295317,0.023649692739459605,0.018511070035657218,0.01624707244687995,0.0399074550789853,-2.8199996948242188,0.6700000762939453,1.3500003814697266,0.0,0.0,1.0,0.0,0.0
2024-09-19,primary,C_high_vol_controlled,16.329999923706055,73.30677290836654,-0.7399997711181641,0.0,0.012605947774103732,1,6.752792968749418,2024,1_15-17,2_70-85,1_falling,1_0_to_-2,False,3.3049468791500662,15357.422895457055,1066.5338645418326,619.9203187250996,843.2270916334661,1116.5338645418326,1383.4661354581674,219.91903127684714,0.013721533115099938,0.005553373980422327,-0.002397805074291548,0.02237279126200109,-0.9600000381469727,4.159999847412109,2.780000686645508,0.0,0.0,1.0,0.0,0.0
2024-09-20,primary,C_high_vol_controlled,16.149999618530273,71.71314741035857,-0.4099998474121094,-0.0019410273951238066,0.00532537830116897,1,7.332988281249527,2024,1_15-17,2_70-85,2_flat,1_0_to_-2,False,3.323981850376272,14211.509809323697,1058.565737051793,615.1394422310758,836.8525896414344,1108.565737051793,1391.434262948207,217.07277132838107,0.013590411772694155,0.006246349160899944,0.008508477995469166,0.02842940837697494,0.8099994659423828,3.059999465942383,1.8800010681152344,0.0,0.0,1.0,0.0,0.0
2024-09-23,primary,C_high_vol_controlled,15.890000343322754,70.1195219123506,-1.2499990463256836,0.0,0.006018907112318672,1,8.079384765625036,2024,1_15-17,2_70-85,1_falling,1_0_to_-2,False,3.343016821602479,13050.168219800591,1050.597609561753,610.3585657370518,830.4780876494024,1100.597609561753,1399.402390438247,214.17811021807196,0.016867847014647275,0.007678520609127881,-0.003957262656243188,0.023679024723371134,0.8399991989135742,6.749999046325684,2.4800004959106445,0.0,1.0,1.0,0.0,0.0
2024-09-24,primary,C_high_vol_controlled,15.390000343322754,65.73705179282868,-2.2200002670288086,0.0,0.005755949333584698,1,8.878984375000073,2024,1_15-17,1_55-70,1_falling,1_0_to_-2,False,3.3953629924745456,12801.3971553016,1028.6852589641435,597.2111553784861,812.9482071713148,1078.6852589641435,1421.3147410358565,207.95962675176733,0.02213875243259955,-0.004217769105822944,0.003174590736886085,0.02062994243866445,3.869999885559082,6.029999732971191,2.810000419616699,0.0,1.0,1.0,0.0,0.0
2024-09-25,primary,C_high_vol_controlled,15.40999984741211,66.53386454183267,-2.8199996948242188,-0.0018612489301417234,0.006774484412749526,1,9.154580078125036,2024,1_15-17,1_55-70,1_falling,1_0_to_-2,False,3.3858455068614433,0.0,1032.6693227091632,599.6015936254979,816.1354581673306,1082.6693227091632,1417.3306772908368,207.8423053426359,0.016252320553266975,-0.0022228502520823534,0.01219453088388045,0.01313469841084558,3.489999771118164,5.450000762939453,3.8299999237060547,0.0,1.0,1.0,0.0,0.0
2024-09-26,primary,C_high_vol_controlled,15.369999885559082,65.33864541832669,-0.9600000381469727,0.0,0.0,1,10.701982421875073,2024,1_15-17,1_55-70,1_falling,1_0_to_-2,False,3.4001217352810973,0.0,1026.6932270916336,596.0159362549801,811.3545816733069,1076.6932270916336,1423.3067729083664,208.14003484142717,0.016900581803384718,-0.007907267043657296,0.006036110257936933,0.011224646067766075,5.119999885559082,5.560000419616699,3.7100000381469727,0.0,1.0,1.0,0.0,0.0
2024-09-27,primary,C_high_vol_controlled,16.959999084472656,78.88446215139442,0.8099994659423828,-0.0012532169669905446,0.000687810428133262,1,12.213388671875691,2024,1_15-17,2_70-85,3_rising,1_0_to_-2,False,3.238324479858344,0.0,1094.4223107569721,636.6533864541833,865.5378486055778,1144.4223107569721,1355.5776892430279,229.38392335936302,0.0180023063755832,0.002248086501337898,0.013394490635114442,0.012190331806982035,2.25,3.5,3.3700008392333984,0.0,1.0,1.0,0.0,0.0
2024-09-30,primary,C_high_vol_controlled,16.729999542236328,78.08764940239044,0.8399991989135742,0.0,0.0,1,15.298593749999782,2024,1_15-17,2_70-85,3_rising,1_0_to_-2,False,3.2478419654714474,0.0,1090.4382470119522,634.2629482071712,862.3505976095618,1140.4382470119522,1359.5617529880478,227.23179864860816,0.017733674000189215,-0.011547118478160368,0.0168972590824652,0.010592668307636277,5.909999847412109,2.970001220703125,3.0699996948242188,1.0,1.0,1.0,0.0,0.0
2024-10-10,primary,C_high_vol_controlled,20.93000030517578,95.2191235059761,0.4400005340576172,-0.002070122839989974,0.008782850059607439,1,29.792587890625327,2024,3_19-22,3_85+,2_flat,1_0_to_-2,True,3.04321602478973,0.0,1176.0956175298804,685.6573705179284,930.8764940239043,1226.0956175298804,1273.9043824701196,285.14421346904703,0.005816579151313617,0.010626276975405968,0.0051574051437368595,0.03339941687218517,-1.8199996948242188,-1.8500003814697266,-5.7300004959106445,0.0,0.0,1.0,0.0,0.0
2024-10-11,primary,C_high_vol_controlled,20.459999084472656,92.82868525896414,1.25,0.0,0.0019800773779125036,1,30.122587890625255,2024,3_19-22,3_85+,3_rising,1_0_to_-2,False,3.071768481629039,0.0,1164.1434262948208,678.4860557768925,921.3147410358566,1214.1434262948208,1285.8565737051792,280.4279524346461,-0.01884420095722783,0.008536523208438895,-0.0011882429194752797,0.031042017079092155,-2.4299983978271484,-0.12999916076660156,-5.5199995040893555,0.0,0.0,1.0,0.0,0.0
2024-10-14,primary,C_high_vol_controlled,19.700000762939453,90.43824701195219,-2.9399986267089844,0.0,0.011547118478160368,1,35.65159179687453,2024,3_19-22,3_85+,1_falling,1_0_to_-2,False,3.100320938468348,0.0,1152.191235059761,671.3147410358566,911.7529880478089,1202.191235059761,1297.808764940239,272.09245351606955,-0.022364103310623218,-0.0010017521079332958,-0.00619983063039975,0.024147375383646086,-1.3299999237060547,0.09999847412109375,-4.7300004959106445,0.0,0.0,1.0,0.0,0.0
