entry,exit_days,exit_reason,entry_spx,entry_vix,exit_spx,exit_vix,short_strike,long_strike,width,credit_per_share,max_loss_per_share,pnl_per_share,pnl_usd,roe_on_max_loss,win,state_ivp,state_ivr,state_iv_signal,range_252d,year
2021-08-10,9,dte_roll,4436.75,16.79,4405.8,21.67,4345,4240,105,24.7,80.3,-7.16,-716.48,-0.0892,False,11.2,6.8,LOW,25.21,2021
2021-08-11,9,dte_roll,4442.41,16.17,4441.67,18.56,4355,4250,105,24.5,80.5,0.2,19.86,0.0025,True,4.0,4.4,LOW,25.21,2021
2021-08-12,11,dte_roll,4460.83,15.59,4479.53,17.15,4375,4275,100,23.18,76.82,5.19,519.14,0.0676,True,0.8,2.1,LOW,25.21,2021
2021-08-13,10,dte_roll,4468.0,15.45,4479.53,17.15,4385,4285,100,23.45,76.55,3.36,335.5,0.0438,True,0.4,1.5,LOW,25.21,2021
2021-08-16,9,dte_roll,4479.71,16.12,4496.19,16.79,4390,4285,105,24.24,80.76,5.3,529.73,0.0656,True,4.4,4.2,LOW,25.21,2021
2021-08-17,9,dte_roll,4448.08,17.91,4470.0,18.84,4350,4235,115,27.02,87.98,6.18,617.65,0.0702,True,23.9,11.3,LOW,25.21,2021
2021-08-20,10,profit_target,4441.67,18.56,4528.79,16.19,4340,4220,120,28.19,91.81,20.08,2007.74,0.2187,True,29.5,13.8,LOW,25.21,2021
2021-08-23,9,dte_roll,4479.53,17.15,4524.09,16.11,4385,4275,110,25.82,84.18,12.11,1211.14,0.1439,True,15.9,8.3,LOW,25.21,2021
2021-08-24,9,dte_roll,4486.23,17.22,4536.95,16.41,4390,4280,110,25.69,84.31,12.45,1245.47,0.1477,True,17.1,8.5,LOW,25.21,2021
2021-08-25,9,dte_roll,4496.19,16.79,4535.43,16.41,4400,4295,105,24.31,80.69,9.95,995.07,0.1233,True,12.7,6.8,LOW,25.21,2021
2021-08-26,12,dte_roll,4470.0,18.84,4520.03,18.14,4365,4245,120,28.24,91.76,14.74,1473.83,0.1606,True,32.7,15.0,LOW,25.21,2021
2021-08-27,11,dte_roll,4509.37,16.39,4520.03,18.14,4415,4310,105,24.07,80.93,3.98,397.95,0.0492,True,8.0,5.2,LOW,25.21,2021
2021-08-30,9,dte_roll,4528.79,16.19,4514.07,17.96,4440,4335,105,24.73,80.27,-1.27,-127.01,-0.0158,False,6.4,4.4,LOW,25.21,2021
2021-08-31,9,dte_roll,4522.68,16.48,4493.28,18.8,4430,4325,105,24.52,80.48,-4.29,-429.32,-0.0533,False,10.4,5.6,LOW,25.21,2021
2021-09-01,9,dte_roll,4524.09,16.11,4458.58,20.95,4435,4330,105,24.54,80.46,-13.22,-1321.8,-0.1643,False,4.4,4.1,LOW,25.21,2021
2021-09-02,11,dte_roll,4536.95,16.41,4468.73,19.37,4445,4340,105,24.6,80.4,-11.24,-1123.93,-0.1398,False,9.6,5.3,LOW,25.21,2021
2021-09-03,10,dte_roll,4535.43,16.41,4468.73,19.37,4445,4335,110,25.63,84.37,-11.79,-1178.87,-0.1397,False,9.6,5.3,LOW,25.21,2021
2021-09-07,9,dte_roll,4520.03,18.14,4473.75,18.69,4415,4300,115,26.67,88.33,-4.61,-461.27,-0.0522,False,30.3,12.2,LOW,25.21,2021
2021-09-08,9,dte_roll,4514.07,17.96,4432.99,20.81,4415,4295,120,28.1,91.9,-14.49,-1449.48,-0.1577,False,28.7,11.5,LOW,25.21,2021
2021-09-09,11,dte_roll,4493.28,18.8,4357.73,25.71,4385,4265,120,27.8,92.2,-25.79,-2578.91,-0.2797,False,35.5,14.8,LOW,25.21,2021
2021-09-13,9,dte_roll,4468.73,19.37,4395.64,20.87,4360,4235,125,29.24,95.76,-10.87,-1086.95,-0.1135,False,39.4,17.1,LOW,25.21,2021
2021-09-15,9,dte_roll,4480.7,18.18,4455.48,17.75,4380,4265,115,27.19,87.81,0.48,47.69,0.0054,True,31.5,12.3,LOW,25.21,2021
2021-09-16,11,dte_roll,4473.75,18.69,4443.11,18.76,4370,4250,120,28.23,91.77,0.1,9.93,0.0011,True,35.5,14.4,LOW,25.21,2021
2021-10-18,9,dte_roll,4486.46,16.31,4551.68,16.98,4395,4290,105,24.28,80.72,11.63,1162.6,0.144,True,8.4,4.9,LOW,25.21,2021
2021-10-19,9,dte_roll,4519.63,15.7,4596.42,16.53,4430,4330,100,23.03,76.97,12.19,1219.38,0.1584,True,2.4,2.5,LOW,25.21,2021
2021-10-20,9,dte_roll,4536.19,15.49,4605.38,16.26,4450,4350,100,23.32,76.68,11.62,1162.17,0.1516,True,1.2,1.7,LOW,25.21,2021
2021-10-21,11,dte_roll,4549.78,15.01,4613.67,16.41,4465,4370,95,22.08,72.92,10.76,1076.18,0.1476,True,0.0,0.0,LOW,25.21,2021
2021-10-22,10,dte_roll,4544.9,15.43,4613.67,16.41,4460,4360,100,23.47,76.53,11.84,1184.18,0.1547,True,0.8,1.7,LOW,25.27,2021
2021-10-25,9,dte_roll,4566.48,15.24,4660.57,15.1,4480,4380,100,23.04,76.96,15.27,1526.69,0.1984,True,0.8,0.9,LOW,25.27,2021
2021-10-26,9,dte_roll,4574.79,15.98,4680.06,15.44,4485,4380,105,24.47,80.53,17.23,1723.12,0.214,True,5.6,3.8,LOW,25.27,2021
2021-10-27,9,dte_roll,4551.68,16.98,4697.53,16.48,4455,4345,110,25.6,84.4,20.31,2030.87,0.2406,True,20.3,7.8,LOW,25.27,2021
2021-10-28,11,profit_target,4596.42,16.53,4701.7,17.22,4500,4395,105,24.38,80.62,16.29,1628.65,0.202,True,15.1,6.6,LOW,25.27,2021
2021-10-29,10,profit_target,4605.38,16.26,4701.7,17.22,4510,4405,105,24.18,80.82,14.66,1465.9,0.1814,True,10.4,5.4,LOW,23.01,2021
2021-11-01,9,dte_roll,4613.67,16.41,4646.71,18.73,4520,4410,110,25.51,84.49,5.38,537.95,0.0637,True,13.1,6.3,LOW,23.01,2021
2021-11-02,9,dte_roll,4630.65,16.03,4649.27,17.66,4540,4435,105,24.68,80.32,4.12,412.33,0.0513,True,6.4,4.6,LOW,22.2,2021
2021-11-03,9,dte_roll,4660.57,15.1,4682.85,16.29,4575,4475,100,23.38,76.62,5.06,505.76,0.066,True,0.8,0.4,LOW,22.2,2021
2021-11-04,11,dte_roll,4680.06,15.44,4682.8,16.49,4590,4485,105,24.09,80.91,3.6,360.3,0.0445,True,2.0,1.9,LOW,22.2,2021
2021-11-05,10,dte_roll,4697.53,16.48,4682.8,16.49,4600,4490,110,25.43,84.57,2.02,201.63,0.0238,True,16.7,6.6,LOW,22.2,2021
