entry,exit_days,exit_reason,entry_spx,entry_vix,exit_spx,exit_vix,short_strike,long_strike,width,credit_per_share,max_loss_per_share,pnl_per_share,pnl_usd,roe_on_max_loss,win,state_ivp,state_ivr,state_iv_signal,range_252d,year
2019-08-01,11,dte_roll,2953.56,17.87,2882.7,21.09,2885,2810,75,17.15,57.85,-12.33,-1233.01,-0.2132,False,70.1,27.8,HIGH,25.22,2019
2019-09-20,10,dte_roll,2992.07,15.32,2976.74,16.24,2935,2870,65,15.03,49.97,-0.88,-87.52,-0.0175,False,40.2,15.2,NEUTRAL,24.46,2019
2019-09-24,9,dte_roll,2966.6,17.05,2910.63,19.12,2905,2830,75,17.5,57.5,-9.8,-980.17,-0.1705,False,59.0,22.2,NEUTRAL,24.46,2019
2019-09-27,10,dte_roll,2961.79,17.22,2938.79,17.86,2900,2825,75,17.62,57.38,-1.75,-174.68,-0.0304,False,59.0,22.9,NEUTRAL,24.46,2019
2019-12-03,9,dte_roll,3093.2,15.96,3168.57,13.94,3030,2960,70,15.99,54.01,12.86,1286.4,0.2382,True,57.4,18.0,NEUTRAL,24.53,2019
2019-12-09,9,dte_roll,3135.96,15.86,3191.14,12.58,3075,3005,70,16.43,53.57,12.79,1279.27,0.2388,True,57.4,17.6,NEUTRAL,24.53,2019
2020-01-27,9,dte_roll,3243.63,18.23,3334.69,15.15,3170,3085,85,19.9,65.1,16.62,1662.17,0.2553,True,89.6,51.3,HIGH,13.05,2020
2020-01-28,9,dte_roll,3276.24,16.28,3345.78,14.96,3210,3135,75,17.52,57.48,12.49,1249.46,0.2174,True,77.3,36.3,HIGH,13.05,2020
2020-01-29,9,dte_roll,3273.4,16.39,3327.71,15.47,3205,3130,75,17.29,57.71,10.63,1063.11,0.1842,True,79.7,37.2,HIGH,13.05,2020
2020-01-30,11,profit_target,3283.66,15.49,3352.09,15.04,3220,3150,70,16.3,53.7,11.67,1167.42,0.2174,True,65.3,30.3,NEUTRAL,13.05,2020
2020-02-03,9,dte_roll,3248.92,17.97,3379.45,13.74,3175,3095,80,18.8,61.2,17.88,1788.01,0.2922,True,88.8,49.3,HIGH,13.05,2020
2020-02-04,9,dte_roll,3297.59,16.05,3373.94,14.15,3230,3155,75,17.17,57.83,13.41,1340.95,0.2319,True,73.7,34.6,HIGH,13.05,2020
2020-02-05,9,dte_roll,3334.69,15.15,3380.16,13.68,3270,3200,70,16.01,53.99,9.97,996.98,0.1847,True,59.8,27.7,NEUTRAL,13.05,2020
2020-02-07,11,dte_roll,3327.71,15.47,3370.29,14.83,3265,3190,75,17.43,57.57,10.12,1011.85,0.1757,True,65.7,30.1,NEUTRAL,13.05,2020
2020-02-10,9,dte_roll,3352.09,15.04,3386.15,14.38,3290,3220,70,16.36,53.64,7.93,793.22,0.1479,True,59.8,26.8,NEUTRAL,13.05,2020
2020-02-11,9,dte_roll,3357.75,15.18,3373.23,15.56,3295,3220,75,17.23,57.77,4.61,461.27,0.0798,True,62.2,27.9,NEUTRAL,13.05,2020
2020-02-20,5,stop_loss,3373.23,15.56,3128.21,27.85,3310,3235,75,17.65,57.35,-37.02,-3702.44,-0.6456,False,67.7,30.8,NEUTRAL,13.05,2020
2020-02-21,6,stop_loss,3337.75,17.08,2978.76,39.16,3265,3185,80,18.49,61.51,-44.69,-4469.22,-0.7266,False,83.7,42.5,HIGH,13.05,2020
2021-12-07,9,dte_roll,4686.75,21.89,4668.67,20.57,4555,4415,140,33.24,106.76,4.43,442.81,0.0415,True,74.1,31.0,HIGH,22.2,2021
2021-12-08,9,dte_roll,4701.21,19.9,4620.64,21.57,4585,4450,135,31.87,103.13,-12.25,-1225.47,-0.1188,False,59.4,22.0,NEUTRAL,22.2,2021
2021-12-09,11,dte_roll,4667.45,21.58,4568.02,22.87,4540,4400,140,33.3,106.7,-13.74,-1373.7,-0.1287,False,71.3,29.6,HIGH,22.2,2021
2021-12-13,9,dte_roll,4668.97,20.31,4696.56,18.63,4550,4415,135,31.87,103.13,12.11,1211.15,0.1174,True,62.2,23.9,NEUTRAL,22.2,2021
2021-12-16,11,profit_target,4668.67,20.57,4791.19,17.68,4550,4410,140,33.13,106.87,26.26,2626.19,0.2457,True,62.9,25.0,NEUTRAL,22.2,2021
2022-03-24,11,profit_target,4520.16,21.67,4582.64,18.57,4395,4260,135,32.02,102.98,20.04,2004.15,0.1946,True,73.7,31.1,HIGH,21.44,2022
2022-03-25,10,dte_roll,4543.06,20.81,4582.64,18.57,4425,4290,135,32.0,103.0,15.44,1544.1,0.1499,True,68.5,27.1,NEUTRAL,21.44,2022
2022-03-28,9,dte_roll,4575.52,19.63,4481.15,22.1,4465,4335,130,30.79,99.21,-16.07,-1607.11,-0.162,False,62.5,21.5,NEUTRAL,21.44,2022
2022-03-29,9,dte_roll,4631.6,18.9,4500.21,21.55,4520,4395,125,29.02,95.98,-23.52,-2351.76,-0.245,False,56.2,18.1,NEUTRAL,21.44,2022
2022-03-30,9,dte_roll,4602.45,19.33,4488.28,21.16,4490,4365,125,29.38,95.62,-19.1,-1909.55,-0.1997,False,58.6,20.1,NEUTRAL,21.44,2022
2022-03-31,11,dte_roll,4530.41,20.56,4412.53,24.37,4415,4280,135,31.96,103.04,-20.98,-2098.23,-0.2036,False,66.9,25.9,NEUTRAL,21.44,2022
2022-04-01,10,dte_roll,4545.86,19.63,4412.53,24.37,4435,4305,130,30.55,99.45,-25.24,-2524.05,-0.2538,False,61.8,21.5,NEUTRAL,21.44,2022
2022-04-05,9,dte_roll,4525.12,21.03,4392.59,22.7,4405,4270,135,31.89,103.11,-22.59,-2259.3,-0.2191,False,70.5,28.1,HIGH,21.44,2022
2022-04-07,11,dte_roll,4500.21,21.55,4391.69,22.17,4380,4240,140,33.31,106.69,-15.93,-1592.66,-0.1493,False,71.7,30.5,HIGH,21.44,2022
2022-04-08,10,dte_roll,4488.28,21.16,4391.69,22.17,4370,4235,135,32.14,102.86,-14.1,-1409.88,-0.1371,False,70.1,28.7,HIGH,21.44,2022
2022-04-19,9,dte_roll,4462.21,21.37,4287.5,29.99,4340,4205,135,31.66,103.34,-33.36,-3335.66,-0.3228,False,68.9,29.7,NEUTRAL,21.44,2022
2022-04-20,9,dte_roll,4459.45,20.32,4131.93,33.4,4345,4215,130,30.5,99.5,-56.81,-5681.32,-0.571,False,62.5,24.8,NEUTRAL,21.44,2022
2022-08-04,11,profit_target,4151.94,21.44,4297.14,19.95,4040,3915,125,29.73,95.27,24.01,2400.66,0.252,True,42.6,30.0,NEUTRAL,21.44,2022
2022-08-05,10,profit_target,4145.19,21.15,4297.14,19.95,4035,3910,125,29.57,95.43,23.67,2367.41,0.2481,True,40.6,28.6,NEUTRAL,21.44,2022
2022-08-08,9,dte_roll,4140.06,21.29,4274.04,19.9,4030,3905,125,29.75,95.25,22.24,2224.08,0.2335,True,41.0,29.3,NEUTRAL,21.44,2022
2024-03-11,9,dte_roll,5117.94,15.22,5224.62,13.04,5020,4910,110,25.3,84.7,19.86,1985.66,0.2344,True,56.2,21.8,NEUTRAL,14.45,2024
2024-04-04,11,dte_roll,5147.21,16.35,5061.82,19.23,5045,4925,120,28.28,91.72,-14.45,-1445.16,-0.1576,False,70.5,44.4,HIGH,9.64,2024
2024-04-05,10,dte_roll,5204.34,16.03,5061.82,19.23,5100,4980,120,27.67,92.33,-26.56,-2655.8,-0.2877,False,68.9,41.1,NEUTRAL,9.64,2024
2024-04-08,9,dte_roll,5202.39,15.19,5022.21,18.21,5105,4990,115,26.5,88.5,-34.79,-3479.07,-0.3931,False,62.5,32.4,NEUTRAL,9.64,2024
2024-04-10,9,dte_roll,5160.64,15.8,4967.23,18.71,5060,4945,115,26.85,88.15,-36.45,-3644.82,-0.4135,False,67.3,38.7,NEUTRAL,9.64,2024
2024-07-18,11,dte_roll,5544.59,15.93,5463.54,16.6,5435,5310,125,29.09,95.91,-10.76,-1075.58,-0.1121,False,79.3,41.3,HIGH,9.85,2024
2024-07-19,10,dte_roll,5505.0,16.52,5463.54,16.6,5390,5260,130,29.94,100.06,-2.12,-212.12,-0.0212,False,82.9,47.3,HIGH,9.85,2024
2024-07-31,9,dte_roll,5522.3,16.36,5344.16,20.37,5410,5280,130,30.15,99.85,-33.83,-3382.64,-0.3388,False,80.1,45.7,HIGH,9.85,2024
2024-08-15,11,dte_roll,5543.22,15.23,5616.84,16.15,5440,5320,120,28.0,92.0,13.88,1388.39,0.1509,True,69.7,12.6,NEUTRAL,26.71,2024
2024-08-20,9,dte_roll,5597.12,15.88,5591.96,15.65,5485,5360,125,28.86,96.14,4.05,404.85,0.0421,True,75.3,15.1,HIGH,26.71,2024
2024-08-21,9,dte_roll,5620.85,16.27,5648.4,15.0,5505,5375,130,29.91,100.09,11.38,1137.92,0.1137,True,78.1,16.5,HIGH,26.71,2024
2024-08-22,12,dte_roll,5570.64,17.55,5528.93,20.72,5450,5310,140,32.88,107.12,-5.3,-530.13,-0.0495,False,85.7,21.3,HIGH,26.71,2024
2024-08-23,11,dte_roll,5634.61,15.86,5528.93,20.72,5525,5395,130,30.18,99.82,-20.35,-2035.39,-0.2039,False,75.3,15.0,HIGH,26.71,2024
2024-08-26,9,dte_roll,5616.84,16.15,5520.07,21.32,5505,5375,130,30.29,99.71,-19.26,-1926.44,-0.1932,False,77.7,16.1,HIGH,26.71,2024
2024-08-27,9,dte_roll,5625.8,15.43,5503.41,19.9,5520,5395,125,29.14,95.86,-23.56,-2355.92,-0.2458,False,72.9,13.4,HIGH,26.71,2024
2024-08-28,9,dte_roll,5592.18,17.11,5408.42,22.38,5475,5335,140,32.71,107.29,-35.7,-3569.99,-0.3328,False,82.5,19.7,HIGH,26.71,2024
2024-08-29,11,dte_roll,5591.96,15.65,5471.05,19.45,5485,5360,125,29.21,95.79,-22.27,-2227.2,-0.2325,False,72.5,14.2,HIGH,26.71,2024
2024-08-30,10,dte_roll,5648.4,15.0,5471.05,19.45,5545,5425,120,28.01,91.99,-33.42,-3342.0,-0.3633,False,67.7,11.8,NEUTRAL,26.71,2024
2024-09-11,9,dte_roll,5554.13,17.69,5702.55,16.15,5430,5290,140,32.5,107.5,24.94,2493.5,0.232,True,83.7,21.8,HIGH,26.71,2024
2024-09-12,11,profit_target,5595.76,17.07,5718.57,15.89,5475,5340,135,31.3,103.7,23.12,2311.64,0.2229,True,79.3,19.5,HIGH,26.71,2024
2024-09-13,10,profit_target,5626.02,16.56,5718.57,15.89,5510,5375,135,31.24,103.76,19.15,1915.39,0.1846,True,76.5,17.6,HIGH,26.71,2024
2024-09-16,9,dte_roll,5633.09,17.14,5722.26,15.41,5515,5375,140,32.84,107.16,20.62,2062.44,0.1925,True,79.7,19.8,HIGH,26.71,2024
2024-09-17,9,dte_roll,5634.58,17.61,5745.37,15.37,5510,5370,140,32.71,107.29,23.23,2322.61,0.2165,True,82.9,21.5,HIGH,26.71,2024
2024-09-18,9,dte_roll,5618.26,18.23,5738.17,16.96,5490,5345,145,34.0,111.0,22.77,2277.05,0.2051,True,87.3,23.8,HIGH,26.71,2024
2024-09-19,11,dte_roll,5713.64,16.33,5762.48,16.73,5600,5465,135,31.61,103.39,12.77,1277.25,0.1235,True,73.3,16.7,HIGH,26.71,2024
2024-09-20,10,dte_roll,5702.55,16.15,5762.48,16.73,5590,5455,135,31.39,103.61,13.16,1315.59,0.127,True,71.7,16.1,HIGH,26.71,2024
