policy,entry,exit,pnl
MA50/200,2000-10-03,2000-11-06,9338.982181823243
MA50/200,2000-10-06,2000-11-09,6430.440007021829
MA50/200,2000-10-16,2000-11-14,4667.262126004263
MA50/200,2001-01-24,2001-02-08,6086.253527951314
MA50/200,2001-02-09,2001-03-01,6209.12489174225
MA50/200,2001-03-07,2001-03-21,8034.654830136995
MA50/200,2001-03-06,2001-04-09,-10687.542161499476
MA50/200,2001-05-23,2001-06-08,6549.536261163553
MA50/200,2001-06-14,2001-07-06,7207.003993450212
MA50/200,2001-07-09,2001-08-08,7185.943664578713
MA50/200,2001-08-08,2001-08-28,6054.030626279039
MA50/200,2001-08-28,2001-09-19,6189.897513577915
MA50/200,2001-09-27,2001-10-31,4341.843403104717
MA50/200,2001-09-28,2001-11-01,3984.558366022756
MA50/200,2001-11-01,2001-11-21,10977.336728848777
MA50/200,2001-11-06,2001-11-23,4387.0967219537
MA50/200,2001-11-09,2001-12-13,6493.364863839047
MA50/200,2001-12-31,2002-01-18,6054.716449764693
MA50/200,2002-01-18,2002-02-07,6472.62785246358
MA50/200,2002-02-15,2002-03-22,2884.1140901002245
MA50/200,2002-05-06,2002-05-31,11218.5856539756
MA50/200,2002-05-07,2002-06-11,4639.401454101363
MA50/200,2002-05-10,2002-06-14,873.9143795712904
MA50/200,2002-06-28,2002-08-02,-5521.002242350105
MA50/200,2002-07-29,2002-08-30,4556.3070177559875
MA50/200,2002-08-21,2002-09-13,6007.549731553496
MA50/200,2002-08-14,2002-09-18,2735.985691014465
MA50/200,2002-09-11,2002-10-15,4856.266052753997
MA50/200,2002-09-26,2002-10-25,4569.671828948481
MA50/200,2002-10-15,2002-11-08,5154.312144155985
MA50/200,2002-10-25,2002-11-15,4347.149224554465
MA50/200,2002-11-01,2002-12-06,4961.141534244211
MA50/200,2002-11-11,2002-12-11,11532.322314443676
MA50/200,2003-06-09,2003-06-26,8714.861154910037
MA50/200,2003-07-25,2003-08-28,1299.382373055902
MA50/200,2003-09-18,2003-10-22,-1557.110480851156
MA50/200,2003-10-22,2003-11-25,4444.841548375772
MA50/200,2003-11-25,2003-12-31,9691.278342094256
MA50/200,2004-01-05,2004-02-09,3054.005769561785
MA50/200,2004-02-09,2004-03-15,-3663.707783743728
MA50/200,2004-03-25,2004-04-29,609.4275672665174
