id,entry_date,expiry_dte,strike,entry_spx,entry_vix,entry_premium,contracts,bp_per,bp_used,stop_premium,profit_premium,prev_val,ivp252_entry,vix5_avg_prior,n_active_at_entry,exit_date,exit_spx,exit_premium,exit_reason,pnl,ivp_bucket,vix_bucket,vix_trend_bucket,slots_bucket,hold_days,pnl_pct_premium,pnl_pct_nlv,dollar_per_bp_day,is_stop,is_win
179,2007-04-25,23,1439,1495.4200439453125,13.210000038146973,10.037504557722173,1.0,17793.046720420654,17793.046720420654,150.5625683658326,1.0037504557722172,1.2632788410946745,64.5418326693227,12.63799991607666,3,2007-06-01,1536.3399658203125,0.814295498666354,profit_target,922.3209059055819,4_55-70,1_<15,3_rising,3,37,0.9188747069569309,0.0018446418118111638,0.0014009737872993618,0,1
180,2007-05-02,21,1440,1495.9200439453125,13.079999923706055,9.912135956945178,1.0,17838.009860342954,17838.009860342954,148.68203935417768,0.9912135956945178,3.820462280484037,60.95617529880478,13.236000061035156,3,2007-06-12,1493.0,8.039975589151538,ladder_exit,187.216036779364,4_55-70,1_<15,2_flat,3,41,0.18887557393539034,0.000374432073558728,0.0002559839822517562,0,1
181,2007-05-09,21,1457,1512.5799560546875,12.880000114440918,9.855611977305841,1.0,18116.264933082148,18116.264933082148,147.83417965958762,0.9855611977305841,2.4205620562067622,56.573705179282875,13.08799991607666,3,2007-06-19,1533.699951171875,1.6814289334719774,ladder_exit,817.4183043833864,4_55-70,1_<15,2_flat,3,41,0.8293937568419147,0.0016348366087667729,0.0011005045404156066,0,1
182,2007-05-22,21,1467,1524.1199951171875,13.0600004196167,10.030138876520425,1.0,18152.814302691106,18152.814302691106,150.45208314780638,1.0030138876520425,12.136837892643314,59.36254980079681,13.416000175476075,3,2007-07-02,1519.4300537109375,6.97211716630585,ladder_exit,305.8021710214575,4_55-70,1_<15,2_flat,3,41,0.3048832870473115,0.000611604342042915,0.00041087786239310585,0,1
183,2007-06-01,21,1480,1536.3399658203125,12.779999732971191,9.845295821278,1.0,18395.632487401235,18395.632487401235,147.67943731917,0.9845295821278001,12.291876845789204,55.37848605577689,13.365999984741212,3,2007-07-12,1547.699951171875,4.830103267421691,ladder_exit,501.5192553856309,4_55-70,1_<15,1_falling,3,41,0.5093998844623133,0.0010030385107712618,0.0006649500618694515,0,1
184,2007-06-13,21,1451,1515.6700439453125,14.729999542236328,11.402650168551531,1.0,17408.31128150359,17408.31128150359,171.03975252827297,1.1402650168551531,3.387913036014254,82.47011952191235,15.629999923706055,3,2007-07-24,1511.0400390625,9.064162328970838,ladder_exit,233.84878395806936,5_>70,1_<15,1_falling,3,41,0.2050828364471125,0.00046769756791613875,0.00032763826340158645,0,1
185,2007-06-21,21,1460,1522.18994140625,14.210000038146973,11.071472259658606,1.0,17721.002206434612,17721.002206434612,166.07208389487909,1.1071472259658606,39.82895399632105,78.08764940239044,13.704000091552734,3,2007-08-01,1465.81005859375,34.41214536359371,ladder_exit,-2334.0673103935105,5_>70,1_<15,3_rising,3,41,-2.1081815097872836,-0.004668134620787021,-0.003212485971280816,0,0
186,2007-07-03,21,1459,1524.8699951171875,14.920000076293945,11.654657270624057,1.0,17451.516142101467,17451.516142101467,174.81985905936085,1.1654657270624058,48.29116694986658,85.65737051792829,16.317999649047852,3,2007-08-13,1452.9200439453125,44.76701808680332,ladder_exit,-3311.236081617926,5_>70,1_<15,1_falling,3,41,-2.8411269458467943,-0.006622472163235853,-0.004627784485405322,0,0
187,2007-07-12,21,1477,1547.699951171875,15.539999961853027,12.177934561377867,1.0,17363.297606528413,17363.297606528413,182.669018420668,1.2177934561377868,59.23266492914695,90.0398406374502,15.91399974822998,3,2007-08-21,1447.1199951171875,55.70791304164652,ladder_exit,-4352.9978480268655,5_>70,2_15-20,2_flat,3,40,-3.574496008405507,-0.008705995696053731,-0.006267527555350697,0,0
188,2007-09-18,21,1428,1519.780029296875,20.350000381469727,16.045528662436254,1.0,15884.552866243626,15884.552866243626,240.68292993654381,1.6045528662436255,7.617901569103111,85.2589641434263,25.277999877929688,0,2007-10-26,1535.280029296875,3.417097569292565,ladder_exit,1262.843109314369,5_>70,3_20-25,1_falling,0,38,0.7870373958265248,0.002525686218628738,0.0020921403128465,0,1
