,j0_bp_pct,j0_n_open,j3_bp_pct,j3_n_open
2023-10-03,0.0,0,0.0,0
2023-10-04,10.0,1,15.0,1
2023-10-05,10.0,1,15.0,1
2023-10-06,10.0,1,15.0,1
2023-10-09,10.0,1,15.0,1
2023-10-10,10.0,1,15.0,1
2023-10-11,10.0,1,15.0,1
2023-10-12,10.0,1,15.0,1
2023-10-13,10.0,1,15.0,1
2023-10-16,10.0,1,15.0,1
2023-10-17,10.0,1,15.0,1
2023-10-18,10.0,1,15.0,1
2023-10-19,10.0,1,15.0,1
2023-10-20,10.0,1,15.0,1
2023-10-23,10.0,1,15.0,1
2023-10-24,10.0,1,15.0,1
2023-10-25,10.0,1,15.0,1
2023-10-26,10.0,1,15.0,1
2023-10-27,10.0,1,15.0,1
2023-10-30,10.0,1,15.0,1
2023-10-31,10.0,1,15.0,1
2023-11-01,10.0,1,15.0,1
2023-11-02,0.0,0,0.0,0
2023-11-03,10.0,1,15.0,1
2023-11-06,10.0,1,15.0,1
2023-11-07,10.0,1,15.0,1
2023-11-08,20.0,2,15.0,1
2023-11-09,20.0,2,15.0,1
2023-11-10,20.0,2,15.0,1
2023-11-13,20.0,2,15.0,1
2023-11-14,20.0,2,15.0,1
2023-11-15,20.0,2,15.0,1
2023-11-16,20.0,2,15.0,1
2023-11-17,20.0,2,15.0,1
2023-11-20,20.0,2,15.0,1
2023-11-21,20.0,2,15.0,1
2023-11-22,20.0,2,15.0,1
2023-11-23,20.0,2,15.0,1
2023-11-24,20.0,2,15.0,1
2023-11-27,20.0,2,15.0,1
2023-11-28,20.0,2,15.0,1
2023-11-29,20.0,2,15.0,1
2023-11-30,20.0,2,15.0,1
2023-12-01,20.0,2,15.0,1
2023-12-04,20.0,2,15.0,1
2023-12-05,20.0,2,15.0,1
2023-12-06,20.0,2,15.0,1
2023-12-07,20.0,2,15.0,1
2023-12-08,20.0,2,30.0,2
2023-12-11,10.0,1,15.0,1
2023-12-12,10.0,1,15.0,1
2023-12-13,20.0,2,15.0,1
2023-12-14,10.0,1,15.0,1
2023-12-15,10.0,1,15.0,1
2023-12-18,10.0,1,15.0,1
2023-12-19,10.0,1,15.0,1
2023-12-20,10.0,1,15.0,1
2023-12-21,10.0,1,15.0,1
2023-12-22,10.0,1,15.0,1
2023-12-25,10.0,1,15.0,1
2023-12-26,10.0,1,15.0,1
2023-12-27,10.0,1,15.0,1
2023-12-28,10.0,1,15.0,1
2023-12-29,10.0,1,15.0,1
2024-01-01,10.0,1,15.0,1
2024-01-02,10.0,1,15.0,1
2024-01-03,10.0,1,15.0,1
2024-01-04,10.0,1,15.0,1
2024-01-05,10.0,1,15.0,1
2024-01-08,10.0,1,15.0,1
2024-01-09,10.0,1,15.0,1
2024-01-10,10.0,1,15.0,1
2024-01-11,10.0,1,15.0,1
2024-01-12,10.0,1,15.0,1
2024-01-15,10.0,1,15.0,1
2024-01-16,10.0,1,30.0,2
2024-01-17,10.0,1,15.0,1
2024-01-18,10.0,1,15.0,1
2024-01-19,20.0,2,15.0,1
2024-01-22,10.0,1,15.0,1
2024-01-23,10.0,1,15.0,1
2024-01-24,10.0,1,15.0,1
2024-01-25,10.0,1,15.0,1
2024-01-26,10.0,1,15.0,1
2024-01-29,10.0,1,15.0,1
2024-01-30,10.0,1,15.0,1
2024-01-31,10.0,1,15.0,1
2024-02-01,10.0,1,15.0,1
2024-02-02,10.0,1,15.0,1
2024-02-05,10.0,1,15.0,1
2024-02-06,10.0,1,15.0,1
2024-02-07,10.0,1,15.0,1
2024-02-08,10.0,1,15.0,1
2024-02-09,10.0,1,15.0,1
2024-02-12,10.0,1,15.0,1
2024-02-13,20.0,2,30.0,2
2024-02-14,20.0,2,30.0,2
2024-02-15,20.0,2,30.0,2
2024-02-16,20.0,2,30.0,2
2024-02-19,20.0,2,30.0,2
2024-02-20,20.0,2,30.0,2
2024-02-21,20.0,2,15.0,1
2024-02-22,20.0,2,15.0,1
2024-02-23,30.0,3,15.0,1
2024-02-26,20.0,2,15.0,1
2024-02-27,20.0,2,30.0,2
2024-02-28,10.0,1,15.0,1
2024-02-29,10.0,1,15.0,1
2024-03-01,10.0,1,15.0,1
2024-03-04,10.0,1,15.0,1
2024-03-05,10.0,1,15.0,1
2024-03-06,10.0,1,15.0,1
2024-03-07,10.0,1,15.0,1
2024-03-08,10.0,1,15.0,1
2024-03-11,10.0,1,15.0,1
2024-03-12,10.0,1,15.0,1
2024-03-13,10.0,1,15.0,1
2024-03-14,10.0,1,15.0,1
2024-03-15,10.0,1,15.0,1
2024-03-18,10.0,1,15.0,1
2024-03-19,10.0,1,15.0,1
2024-03-20,10.0,1,15.0,1
2024-03-21,10.0,1,15.0,1
2024-03-22,10.0,1,15.0,1
2024-03-25,10.0,1,15.0,1
2024-03-26,10.0,1,15.0,1
2024-03-27,10.0,1,15.0,1
2024-03-28,20.0,2,15.0,1
2024-03-29,10.0,1,15.0,1
2024-04-01,10.0,1,15.0,1
2024-04-02,10.0,1,30.0,2
2024-04-03,10.0,1,15.0,1
2024-04-04,10.0,1,15.0,1
2024-04-05,10.0,1,15.0,1
2024-04-08,10.0,1,15.0,1
2024-04-09,10.0,1,15.0,1
2024-04-10,10.0,1,15.0,1
2024-04-11,10.0,1,15.0,1
2024-04-12,20.0,2,30.0,2
2024-04-15,20.0,2,30.0,2
2024-04-16,10.0,1,15.0,1
2024-04-17,10.0,1,15.0,1
2024-04-18,10.0,1,15.0,1
2024-04-19,10.0,1,15.0,1
2024-04-22,10.0,1,15.0,1
2024-04-23,10.0,1,15.0,1
2024-04-24,10.0,1,15.0,1
2024-04-25,10.0,1,15.0,1
2024-04-26,10.0,1,15.0,1
2024-04-29,10.0,1,15.0,1
2024-04-30,10.0,1,15.0,1
2024-05-01,10.0,1,15.0,1
2024-05-02,10.0,1,15.0,1
2024-05-03,20.0,2,30.0,2
2024-05-06,20.0,2,15.0,1
2024-05-07,20.0,2,15.0,1
2024-05-08,20.0,2,15.0,1
2024-05-09,20.0,2,15.0,1
2024-05-10,20.0,2,15.0,1
2024-05-13,20.0,2,15.0,1
2024-05-14,20.0,2,15.0,1
2024-05-15,20.0,2,15.0,1
2024-05-16,20.0,2,15.0,1
2024-05-17,20.0,2,15.0,1
2024-05-20,20.0,2,15.0,1
2024-05-21,20.0,2,15.0,1
2024-05-22,20.0,2,15.0,1
2024-05-23,20.0,2,15.0,1
2024-05-24,20.0,2,15.0,1
2024-05-27,20.0,2,15.0,1
2024-05-28,20.0,2,15.0,1
2024-05-29,20.0,2,15.0,1
2024-05-30,20.0,2,15.0,1
2024-05-31,20.0,2,15.0,1
2024-06-03,20.0,2,15.0,1
2024-06-04,20.0,2,15.0,1
2024-06-05,20.0,2,15.0,1
2024-06-06,20.0,2,15.0,1
2024-06-07,20.0,2,30.0,2
2024-06-10,20.0,2,15.0,1
2024-06-11,10.0,1,15.0,1
2024-06-12,10.0,1,15.0,1
2024-06-13,10.0,1,15.0,1
2024-06-14,10.0,1,15.0,1
2024-06-17,10.0,1,15.0,1
2024-06-18,10.0,1,15.0,1
2024-06-19,10.0,1,15.0,1
2024-06-20,10.0,1,15.0,1
2024-06-21,10.0,1,15.0,1
2024-06-24,10.0,1,15.0,1
2024-06-25,10.0,1,15.0,1
2024-06-26,10.0,1,15.0,1
2024-06-27,10.0,1,15.0,1
2024-06-28,10.0,1,15.0,1
2024-07-01,10.0,1,15.0,1
2024-07-02,10.0,1,15.0,1
2024-07-03,10.0,1,15.0,1
2024-07-04,10.0,1,15.0,1
2024-07-05,10.0,1,15.0,1
2024-07-08,10.0,1,15.0,1
2024-07-09,10.0,1,15.0,1
2024-07-10,10.0,1,15.0,1
2024-07-11,10.0,1,15.0,1
2024-07-12,10.0,1,15.0,1
2024-07-15,10.0,1,30.0,2
2024-07-16,20.0,2,15.0,1
2024-07-17,10.0,1,15.0,1
2024-07-18,10.0,1,15.0,1
2024-07-19,10.0,1,15.0,1
2024-07-22,10.0,1,15.0,1
2024-07-23,10.0,1,15.0,1
2024-07-24,10.0,1,15.0,1
2024-07-25,10.0,1,15.0,1
2024-07-26,10.0,1,15.0,1
2024-07-29,10.0,1,15.0,1
2024-07-30,10.0,1,15.0,1
2024-07-31,10.0,1,15.0,1
2024-08-01,20.0,2,30.0,2
2024-08-02,20.0,2,30.0,2
2024-08-05,10.0,1,15.0,1
2024-08-06,17.0,2,29.0,2
2024-08-07,24.0,3,43.0,3
2024-08-08,24.0,3,43.0,3
2024-08-09,24.0,3,43.0,3
2024-08-12,24.0,3,43.0,3
2024-08-13,24.0,3,43.0,3
2024-08-14,24.0,3,43.0,3
2024-08-15,24.0,3,43.0,3
2024-08-16,24.0,3,43.0,3
2024-08-19,24.0,3,43.0,3
2024-08-20,24.0,3,43.0,3
2024-08-21,17.0,2,29.0,2
2024-08-22,17.0,2,29.0,2
2024-08-23,17.0,2,29.0,2
2024-08-26,17.0,2,29.0,2
2024-08-27,17.0,2,29.0,2
2024-08-28,10.0,1,15.0,1
2024-08-29,10.0,1,15.0,1
2024-08-30,0.0,0,0.0,0
2024-09-02,0.0,0,0.0,0
2024-09-03,10.0,1,15.0,1
2024-09-04,10.0,1,15.0,1
2024-09-05,10.0,1,15.0,1
2024-09-06,10.0,1,15.0,1
2024-09-09,10.0,1,15.0,1
2024-09-10,10.0,1,15.0,1
2024-09-11,10.0,1,15.0,1
2024-09-12,10.0,1,15.0,1
2024-09-13,10.0,1,15.0,1
2024-09-16,10.0,1,15.0,1
2024-09-17,10.0,1,15.0,1
2024-09-18,10.0,1,15.0,1
2024-09-19,10.0,1,15.0,1
2024-09-20,10.0,1,15.0,1
2024-09-23,10.0,1,15.0,1
2024-09-24,10.0,1,15.0,1
2024-09-25,0.0,0,0.0,0
2024-09-26,0.0,0,0.0,0
2024-09-27,0.0,0,0.0,0
2024-09-30,0.0,0,0.0,0
2024-10-01,0.0,0,0.0,0
2024-10-02,0.0,0,0.0,0
2024-10-03,0.0,0,0.0,0
2024-10-04,0.0,0,0.0,0
2024-10-07,0.0,0,0.0,0
2024-10-08,0.0,0,0.0,0
2024-10-09,0.0,0,0.0,0
2024-10-10,0.0,0,0.0,0
2024-10-11,0.0,0,0.0,0
2024-10-14,0.0,0,0.0,0
2024-10-15,0.0,0,0.0,0
2024-10-16,0.0,0,0.0,0
2024-10-17,0.0,0,0.0,0
2024-10-18,0.0,0,0.0,0
2024-10-21,0.0,0,0.0,0
2024-10-22,0.0,0,0.0,0
2024-10-23,0.0,0,0.0,0
2024-10-24,0.0,0,0.0,0
2024-10-25,0.0,0,0.0,0
2024-10-28,0.0,0,0.0,0
2024-10-29,0.0,0,0.0,0
2024-10-30,0.0,0,0.0,0
2024-10-31,0.0,0,0.0,0
2024-11-01,0.0,0,0.0,0
2024-11-04,0.0,0,0.0,0
2024-11-05,0.0,0,0.0,0
2024-11-06,0.0,0,0.0,0
2024-11-07,0.0,0,0.0,0
2024-11-08,10.0,1,15.0,1
2024-11-11,10.0,1,15.0,1
2024-11-12,10.0,1,15.0,1
2024-11-13,10.0,1,15.0,1
2024-11-14,10.0,1,15.0,1
2024-11-15,10.0,1,15.0,1
2024-11-18,10.0,1,15.0,1
2024-11-19,10.0,1,15.0,1
2024-11-20,10.0,1,15.0,1
2024-11-21,10.0,1,15.0,1
2024-11-22,10.0,1,15.0,1
2024-11-25,10.0,1,15.0,1
2024-11-26,10.0,1,15.0,1
2024-11-27,10.0,1,15.0,1
2024-11-28,10.0,1,15.0,1
2024-11-29,10.0,1,15.0,1
2024-12-02,10.0,1,15.0,1
2024-12-03,10.0,1,15.0,1
2024-12-04,10.0,1,15.0,1
2024-12-05,10.0,1,15.0,1
2024-12-06,10.0,1,15.0,1
2024-12-09,10.0,1,15.0,1
2024-12-10,10.0,1,15.0,1
2024-12-11,10.0,1,15.0,1
2024-12-12,10.0,1,15.0,1
2024-12-13,20.0,2,30.0,2
2024-12-16,10.0,1,15.0,1
2024-12-17,10.0,1,15.0,1
2024-12-18,10.0,1,15.0,1
2024-12-19,0.0,0,0.0,0
2024-12-20,0.0,0,0.0,0
2024-12-23,0.0,0,0.0,0
2024-12-24,10.0,1,15.0,1
2024-12-25,10.0,1,15.0,1
2024-12-26,10.0,1,15.0,1
2024-12-27,10.0,1,15.0,1
2024-12-30,20.0,2,30.0,2
2024-12-31,20.0,2,30.0,2
2025-01-01,10.0,1,15.0,1
2025-01-02,10.0,1,15.0,1
2025-01-03,10.0,1,15.0,1
2025-01-06,10.0,1,15.0,1
2025-01-07,10.0,1,15.0,1
2025-01-08,10.0,1,15.0,1
2025-01-09,10.0,1,15.0,1
2025-01-10,10.0,1,15.0,1
2025-01-13,10.0,1,15.0,1
2025-01-14,10.0,1,15.0,1
2025-01-15,10.0,1,15.0,1
2025-01-16,10.0,1,15.0,1
2025-01-17,10.0,1,15.0,1
2025-01-20,10.0,1,15.0,1
2025-01-21,20.0,2,30.0,2
2025-01-22,20.0,2,30.0,2
2025-01-23,20.0,2,30.0,2
2025-01-24,20.0,2,30.0,2
2025-01-27,20.0,2,30.0,2
2025-01-28,20.0,2,30.0,2
2025-01-29,20.0,2,30.0,2
2025-01-30,20.0,2,30.0,2
2025-01-31,20.0,2,30.0,2
2025-02-03,20.0,2,30.0,2
2025-02-04,10.0,1,15.0,1
2025-02-05,10.0,1,15.0,1
2025-02-06,10.0,1,15.0,1
2025-02-07,10.0,1,15.0,1
2025-02-10,10.0,1,15.0,1
2025-02-11,10.0,1,15.0,1
2025-02-12,10.0,1,15.0,1
2025-02-13,10.0,1,15.0,1
2025-02-14,20.0,2,15.0,1
2025-02-17,20.0,2,15.0,1
2025-02-18,20.0,2,15.0,1
2025-02-19,20.0,2,15.0,1
2025-02-20,30.0,3,30.0,2
2025-02-21,30.0,3,30.0,2
2025-02-24,30.0,3,30.0,2
2025-02-25,30.0,3,30.0,2
2025-02-26,20.0,2,30.0,2
2025-02-27,20.0,2,30.0,2
2025-02-28,20.0,2,30.0,2
2025-03-03,20.0,2,30.0,2
2025-03-04,20.0,2,30.0,2
2025-03-05,20.0,2,30.0,2
2025-03-06,10.0,1,15.0,1
2025-03-07,10.0,1,15.0,1
2025-03-10,10.0,1,15.0,1
2025-03-11,10.0,1,15.0,1
2025-03-12,10.0,1,15.0,1
2025-03-13,10.0,1,15.0,1
2025-03-14,10.0,1,15.0,1
2025-03-17,10.0,1,15.0,1
2025-03-18,10.0,1,15.0,1
2025-03-19,10.0,1,15.0,1
2025-03-20,10.0,1,15.0,1
2025-03-21,10.0,1,15.0,1
2025-03-24,10.0,1,15.0,1
2025-03-25,10.0,1,15.0,1
2025-03-26,10.0,1,15.0,1
2025-03-27,20.0,2,30.0,2
2025-03-28,10.0,1,15.0,1
2025-03-31,10.0,1,15.0,1
2025-04-01,10.0,1,15.0,1
2025-04-02,10.0,1,15.0,1
2025-04-03,10.0,1,15.0,1
2025-04-04,10.0,1,15.0,1
2025-04-07,10.0,1,15.0,1
2025-04-08,10.0,1,15.0,1
2025-04-09,17.0,2,29.0,2
2025-04-10,17.0,2,29.0,2
2025-04-11,17.0,2,29.0,2
2025-04-14,24.0,3,43.0,3
2025-04-15,24.0,3,43.0,3
2025-04-16,24.0,3,43.0,3
2025-04-17,24.0,3,43.0,3
2025-04-18,24.0,3,43.0,3
2025-04-21,24.0,3,43.0,3
2025-04-22,24.0,3,43.0,3
2025-04-23,24.0,3,43.0,3
2025-04-24,31.0,4,57.0,4
2025-04-25,24.0,3,43.0,3
2025-04-28,24.0,3,43.0,3
2025-04-29,24.0,3,43.0,3
2025-04-30,17.0,2,29.0,2
2025-05-01,17.0,2,29.0,2
2025-05-02,14.0,2,28.0,2
2025-05-05,14.0,2,28.0,2
2025-05-06,14.0,2,28.0,2
2025-05-07,14.0,2,28.0,2
2025-05-08,14.0,2,28.0,2
2025-05-09,14.0,2,28.0,2
2025-05-12,14.0,2,28.0,2
2025-05-13,14.0,2,28.0,2
2025-05-14,7.0,1,14.0,1
2025-05-15,7.0,1,14.0,1
2025-05-16,17.0,2,29.0,2
2025-05-19,17.0,2,29.0,2
2025-05-20,17.0,2,29.0,2
2025-05-21,17.0,2,29.0,2
2025-05-22,17.0,2,29.0,2
2025-05-23,17.0,2,29.0,2
2025-05-26,17.0,2,29.0,2
2025-05-27,17.0,2,29.0,2
2025-05-28,17.0,2,29.0,2
2025-05-29,17.0,2,29.0,2
2025-05-30,10.0,1,15.0,1
2025-06-02,0.0,0,0.0,0
2025-06-03,10.0,1,15.0,1
2025-06-04,10.0,1,15.0,1
2025-06-05,10.0,1,15.0,1
2025-06-06,10.0,1,15.0,1
2025-06-09,10.0,1,15.0,1
2025-06-10,10.0,1,15.0,1
2025-06-11,10.0,1,15.0,1
2025-06-12,10.0,1,15.0,1
2025-06-13,10.0,1,15.0,1
2025-06-16,10.0,1,15.0,1
2025-06-17,0.0,0,0.0,0
2025-06-18,0.0,0,0.0,0
2025-06-19,0.0,0,0.0,0
2025-06-20,0.0,0,0.0,0
2025-06-23,0.0,0,0.0,0
2025-06-24,0.0,0,0.0,0
2025-06-25,0.0,0,0.0,0
2025-06-26,0.0,0,0.0,0
2025-06-27,0.0,0,0.0,0
2025-06-30,0.0,0,0.0,0
2025-07-01,0.0,0,0.0,0
2025-07-02,0.0,0,0.0,0
2025-07-03,0.0,0,0.0,0
2025-07-04,0.0,0,0.0,0
2025-07-07,10.0,1,15.0,1
