date,bp_used,max_conc_pct,eff_expiry_count,variant
2012-10-29,25558.48200302312,48.17676204137553,2.672734864693893,V3_daily_cluster
2012-11-05,21117.993012520023,58.30690941456511,2.332897056847469,V3_daily_cluster
2012-11-12,16088.03682902722,76.53667869387127,1.5604541879435188,V3_daily_cluster
2012-11-19,10603.523091262046,64.4006266544217,1.8468052526390477,V3_daily_cluster
2012-11-26,10603.523091262046,64.4006266544217,1.8468052526390477,V3_daily_cluster
2012-12-03,6828.735318219065,100.0,1.0,V3_daily_cluster
2012-12-10,10553.962557080635,64.70304666409565,1.8408208480011148,V3_daily_cluster
2012-12-17,6716.333682369539,55.46519001341965,1.9763874650229396,V3_daily_cluster
2012-12-24,9924.112188827867,37.537133478350526,2.97422128274841,V3_daily_cluster
2012-12-31,9924.112188827867,37.537133478350526,2.97422128274841,V3_daily_cluster
2013-01-07,18162.95630520359,35.210764585991434,3.6193246191345114,V3_daily_cluster
2013-01-14,20638.189357820593,30.98777550491994,3.800213865808578,V3_daily_cluster
2013-01-21,17430.410851362263,36.69056249458343,2.9847071650909385,V3_daily_cluster
2013-01-28,28467.46289325943,23.202677878692572,4.909648484348841,V3_daily_cluster
2013-02-04,40215.58319401131,29.212855733250553,5.336186215130334,V3_daily_cluster
2013-02-11,46480.37506370364,25.2754421293944,6.310981097795129,V3_daily_cluster
2013-02-18,40911.61949494808,28.71585247854239,5.376388209345516,V3_daily_cluster
2013-02-25,44189.14666448716,26.585985898191872,5.364791155060857,V3_daily_cluster
2013-03-04,81127.42365869865,37.846818112685824,4.655476233935836,V3_daily_cluster
2013-03-11,82972.59678327024,37.005167563716164,4.775809106987517,V3_daily_cluster
2013-03-18,85701.34657970355,35.82691485840353,4.985695963794838,V3_daily_cluster
2013-03-25,82643.50475409746,37.15252464543308,4.841664965905349,V3_daily_cluster
2013-04-01,81669.3449385812,37.59568353916214,4.766229173074597,V3_daily_cluster
2013-04-08,77149.60644171346,39.79819196461191,4.467190255401412,V3_daily_cluster
2013-04-15,46445.45797009775,25.19184551103722,5.536197409777557,V3_daily_cluster
2013-04-22,50087.07000375582,17.350343061580872,6.750139363438681,V3_daily_cluster
2013-04-29,46945.916510529656,18.511255336119874,6.710413723863373,V3_daily_cluster
2013-05-06,45191.38316891361,19.229945767899615,6.665689542876661,V3_daily_cluster
2013-05-13,41539.5085274333,20.34301112241166,6.733814179909887,V3_daily_cluster
2013-05-20,54778.07024744812,33.825933791550625,5.24964197326808,V3_daily_cluster
2013-05-27,49624.96578829506,37.33845148274406,4.518315267963577,V3_daily_cluster
2013-06-03,48938.82202093396,37.861952962956245,4.485800150414294,V3_daily_cluster
2013-06-10,42047.12880848603,44.06767905268075,3.6346882462946692,V3_daily_cluster
2013-06-17,41225.95721751106,44.94545433215671,3.101077697217325,V3_daily_cluster
2013-06-24,42228.69815223205,43.87820270327587,3.1849203837402587,V3_daily_cluster
2013-07-01,43957.41513423018,42.152600915248044,3.329655578661689,V3_daily_cluster
2013-07-08,29051.4681111947,42.174477315238484,3.3744195177408214,V3_daily_cluster
2013-07-15,30502.910387922402,28.74983556383443,4.623341022887838,V3_daily_cluster
2013-07-22,31094.083560873456,28.203232172908972,4.622220988773124,V3_daily_cluster
2013-07-29,29187.20381316679,30.045826365715072,4.555561477512956,V3_daily_cluster
2013-08-05,38008.6473274981,32.741734159224784,4.3944879284017375,V3_daily_cluster
2013-08-12,43008.09183366408,28.93569497018649,5.229007662935243,V3_daily_cluster
2013-08-19,43008.09183366408,28.93569497018649,5.229007662935243,V3_daily_cluster
2013-08-26,34238.555254952626,36.3470075557192,4.234610491737201,V3_daily_cluster
