variant,entry_date,strategy,pnl,bp_per_contract,pnl_source,expiry_proxy
V1b_weekly_catchup,2002-11-11,Iron Condor (High Vol),-1703.1525184786378,27566.290364925175,bootstrap,2002-12-16
V1b_weekly_catchup,2002-11-18,Iron Condor (High Vol),2712.64579892393,16356.414050938545,bootstrap,2002-12-23
V1b_weekly_catchup,2002-11-25,Iron Condor (High Vol),2459.5631713762286,15434.367190945171,bootstrap,2002-12-30
V1b_weekly_catchup,2002-12-02,Iron Condor (High Vol),-506.9635679057976,6427.718771999633,bootstrap,2003-01-06
V1b_weekly_catchup,2002-12-11,Iron Condor (High Vol),760.8641493386474,4837.929366231253,bootstrap,2003-01-15
V1b_weekly_catchup,2002-12-16,Iron Condor (High Vol),660.2476277685705,3965.1070578905633,bootstrap,2003-01-20
V1b_weekly_catchup,2002-12-23,Iron Condor (High Vol),709.216361745853,10740.03989157674,bootstrap,2003-01-27
V1b_weekly_catchup,2002-12-30,Bear Call Spread (High Vol),-1736.9603682367529,5871.990604815032,bootstrap,2003-02-03
V1b_weekly_catchup,2003-01-06,Iron Condor (High Vol),842.2715549987942,5242.267655208568,bootstrap,2003-02-10
V1b_weekly_catchup,2003-01-13,Iron Condor (High Vol),906.269199915965,5779.074247344378,bootstrap,2003-02-17
V1b_weekly_catchup,2003-01-21,Bear Call Spread (High Vol),-246.15675540313518,4467.419745995277,bootstrap,2003-02-25
V1b_weekly_catchup,2003-03-03,Bear Call Spread (High Vol),460.5150379692778,5261.31182041389,bootstrap,2003-04-07
V1b_weekly_catchup,2003-03-17,Iron Condor (High Vol),2668.2497166645376,38982.736216818266,bootstrap,2003-04-21
V1b_weekly_catchup,2003-03-24,Iron Condor (High Vol),2638.0869736120517,34330.554193231976,bootstrap,2003-04-28
V1b_weekly_catchup,2003-03-31,Iron Condor (High Vol),524.5814665742101,8143.954083611263,bootstrap,2003-05-05
V1b_weekly_catchup,2003-04-07,Iron Condor (High Vol),1799.2435570742475,34358.6387434555,bootstrap,2003-05-12
V1b_weekly_catchup,2003-04-14,Bull Put Spread (High Vol),392.541214518481,3177.5814066093694,bootstrap,2003-05-19
V1b_weekly_catchup,2003-06-09,Bull Put Spread (High Vol),343.5420872334877,2759.418156971473,engine_exact_d+0,2003-07-14
V1b_weekly_catchup,2004-01-21,Bull Call Diagonal,-126.29306696116095,5309.2333467047365,engine_exact_d+0,2004-03-06
V1b_weekly_catchup,2004-01-26,Bull Call Diagonal,1495.788711392915,6264.791869692329,bootstrap,2004-03-11
V1b_weekly_catchup,2004-02-25,Bull Call Diagonal,-409.4745176748864,5466.339496124972,engine_exact_d+0,2004-04-10
V1b_weekly_catchup,2004-03-01,Bull Call Diagonal,6211.548816211691,22104.332449160036,bootstrap,2004-04-15
V1b_weekly_catchup,2004-03-22,Iron Condor,693.8526425556141,3641.5427193422565,engine_exact_d+0,2004-04-21
V1b_weekly_catchup,2004-04-05,Bull Call Diagonal,-1685.985093623341,6999.968889027159,bootstrap,2004-05-20
V1b_weekly_catchup,2004-06-16,Bull Call Diagonal,-937.3717995242105,5406.0547813551175,engine_exact_d+0,2004-07-31
V1b_weekly_catchup,2004-06-22,Bull Call Diagonal,-701.0326981738483,4610.088923493013,bootstrap,2004-08-06
V1b_weekly_catchup,2004-06-30,Bull Call Diagonal,-1238.5024263775688,9642.581640524555,bootstrap,2004-08-14
