variant,entry_date,exit_date,exit_reason,strategy,kind,credit,max_loss,pnl,spx_entry,vix_entry,ivp_entry
BaselineB_cluster_30d,2004-12-08,2004-12-22,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1182.81005859375,13.1899995803833,4.8
BaselineB_cluster_30d,2005-01-10,2005-01-24,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1190.25,13.229999542236328,12.7
BaselineB_cluster_30d,2005-01-10,2005-01-24,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1190.25,13.229999542236328,12.7
BaselineB_cluster_30d,2005-01-10,2005-01-24,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1190.25,13.229999542236328,12.7
BaselineB_cluster_30d,2005-01-10,2005-01-24,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1190.25,13.229999542236328,12.7
BaselineB_cluster_30d,2005-02-10,2005-02-24,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1197.010009765625,11.510000228881836,1.2
BaselineB_cluster_30d,2005-02-10,2005-02-24,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1197.010009765625,11.510000228881836,1.2
BaselineB_cluster_30d,2005-02-10,2005-02-24,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1197.010009765625,11.510000228881836,1.2
BaselineB_cluster_30d,2005-02-10,2005-02-24,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1197.010009765625,11.510000228881836,1.2
BaselineB_cluster_30d,2005-03-14,2005-03-28,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1206.8299560546875,12.390000343322754,12.0
BaselineB_cluster_30d,2005-03-14,2005-03-28,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1206.8299560546875,12.390000343322754,12.0
BaselineB_cluster_30d,2005-03-14,2005-03-28,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1206.8299560546875,12.390000343322754,12.0
BaselineB_cluster_30d,2005-03-14,2005-03-28,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1206.8299560546875,12.390000343322754,12.0
BaselineB_cluster_30d,2005-04-15,2005-04-18,ic_combined,Iron Condor,ic,809.3333333333331,428.66666666666674,538.019742726627,1142.6199951171875,17.739999771118164,92.8
BaselineB_cluster_30d,2005-04-15,2005-04-18,ic_combined,Iron Condor,ic,809.3333333333331,428.66666666666674,538.019742726627,1142.6199951171875,17.739999771118164,92.8
BaselineB_cluster_30d,2005-04-15,2005-04-18,ic_combined,Iron Condor,ic,809.3333333333331,428.66666666666674,538.019742726627,1142.6199951171875,17.739999771118164,92.8
BaselineB_cluster_30d,2005-04-15,2005-04-18,ic_combined,Iron Condor,ic,809.3333333333331,428.66666666666674,538.019742726627,1142.6199951171875,17.739999771118164,92.8
BaselineB_cluster_30d,2005-05-18,2005-06-01,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1185.56005859375,13.630000114440918,38.6
BaselineB_cluster_30d,2005-05-18,2005-06-01,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1185.56005859375,13.630000114440918,38.6
BaselineB_cluster_30d,2005-05-18,2005-06-01,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1185.56005859375,13.630000114440918,38.6
BaselineB_cluster_30d,2005-05-18,2005-06-01,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1185.56005859375,13.630000114440918,38.6
BaselineB_cluster_30d,2005-06-17,2005-07-01,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1216.9599609375,11.479999542236328,4.0
BaselineB_cluster_30d,2005-06-17,2005-07-01,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1216.9599609375,11.479999542236328,4.0
BaselineB_cluster_30d,2005-06-17,2005-07-01,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1216.9599609375,11.479999542236328,4.0
BaselineB_cluster_30d,2005-06-17,2005-07-01,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1216.9599609375,11.479999542236328,4.0
BaselineB_cluster_30d,2005-07-18,2005-08-01,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1221.1300048828125,10.770000457763672,0.4
BaselineB_cluster_30d,2005-07-18,2005-08-01,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1221.1300048828125,10.770000457763672,0.4
BaselineB_cluster_30d,2005-07-18,2005-08-01,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1221.1300048828125,10.770000457763672,0.4
BaselineB_cluster_30d,2005-07-18,2005-08-01,bcd_placeholder,Bull Call Diagonal,bcd,0.0,1250.0,0.0,1221.1300048828125,10.770000457763672,0.4
BaselineB_cluster_30d,2005-08-31,2005-09-15,ic_combined,Iron Condor,ic,627.3333333333334,519.6666666666666,422.3179850066226,1220.3299560546875,12.600000381469727,38.2
BaselineB_cluster_30d,2005-08-31,2005-09-15,ic_combined,Iron Condor,ic,627.3333333333334,519.6666666666666,422.3179850066226,1220.3299560546875,12.600000381469727,38.2
BaselineB_cluster_30d,2005-08-31,2005-09-15,ic_combined,Iron Condor,ic,627.3333333333334,519.6666666666666,422.3179850066226,1220.3299560546875,12.600000381469727,38.2
BaselineB_cluster_30d,2005-08-31,2005-09-15,ic_combined,Iron Condor,ic,627.3333333333334,519.6666666666666,422.3179850066226,1220.3299560546875,12.600000381469727,38.2
BaselineB_cluster_30d,2005-09-30,2005-10-06,ic_combined,Iron Condor,ic,570.3333333333334,548.1666666666666,323.3875801506192,1228.81005859375,11.920000076293945,21.1
