entry_date,exit_date,strategy,exit_pnl,contracts,total_bp,entry_spx,entry_vix,dte_at_entry,hold_days,exit_reason,spread_width,pnl_per_contract,bp_per_contract
2011-12-28,2012-02-02,Iron Condor (High Vol),2966.0495096359855,4.4726,21000.0,1249.6400146484375,23.520000457763672,45,24,roll_21dte,59.0,663.1600209354706,4695.255556052408
2011-12-29,2012-02-02,Iron Condor (High Vol),3405.404277073005,4.7392,21000.0,1263.02001953125,22.649999618530273,45,23,50pct_profit,56.0,718.5609970191181,4431.127616475354
2012-02-10,2012-02-24,Bull Put Spread,4369.717994647904,6.2958,22500.0,1342.6400146484375,20.790000915527344,30,9,roll_21dte,47.0,694.0687433920874,3573.811112170018
2012-03-06,2012-03-19,Bull Put Spread,6772.271326996436,6.3119,22500.0,1343.3599853515625,20.8700008392334,30,9,roll_21dte,47.0,1072.9370438372655,3564.695258163152
2012-03-23,2012-04-10,Bull Call Diagonal,-2591.2184127781175,3.373,22500.0,1397.1099853515625,14.81999969482422,45,11,trend_flip,0.0,-768.2236622526289,6670.6196264453
2012-05-04,2012-06-08,Iron Condor,1230.2241360235626,5.7292,22500.0,1369.0999755859375,19.15999984741211,45,24,roll_21dte,50.0,214.72878168392842,3927.249877818893
2012-06-08,2012-06-29,Iron Condor,3530.2822253472955,5.1558,22500.0,1325.6600341796875,21.229999542236328,45,15,50pct_profit,55.0,684.7205526489188,4364.017223321308
2012-07-24,2012-08-27,Iron Condor,2947.202691892109,5.368,22500.0,1338.31005859375,20.469999313354492,45,24,roll_21dte,53.0,549.0317980424942,4191.50521609538
2012-09-07,2012-10-11,Bull Call Diagonal,-243.5664805008221,3.372,22500.0,1437.9200439453125,14.380000114440918,45,24,roll_21dte,0.0,-72.23205234306705,6672.597864768683
2012-11-02,2012-11-28,Iron Condor,3681.990229595727,5.9606,22500.0,1414.199951171875,17.59000015258789,45,17,50pct_profit,48.0,617.721408850741,3774.787773042982
2012-12-19,2013-01-03,Bull Put Spread,4454.1500960303065,7.0142,22500.0,1435.81005859375,17.360000610351562,30,9,roll_21dte,42.0,635.0189752260139,3207.7785064583277
2012-12-04,2013-01-08,Iron Condor,3732.9052191479304,6.0399,22500.0,1407.050048828125,17.1200008392334,45,23,50pct_profit,47.0,618.0408978870396,3725.22723886157
2013-01-08,2013-02-12,Bull Call Diagonal,9404.090871353652,3.5182,22500.0,1457.1500244140625,13.619999885559082,45,24,roll_21dte,0.0,2672.98359142563,6395.315786481723
2013-02-12,2013-03-19,Bull Call Diagonal,5372.125156967654,3.5915,22500.0,1519.4300537109375,12.640000343322754,45,24,roll_21dte,0.0,1495.788711392915,6264.791869692329
2013-03-19,2013-04-23,Bull Call Diagonal,4521.707050250837,3.1422,22500.0,1548.3399658203125,14.390000343322754,45,24,roll_21dte,0.0,1439.0258577591615,7160.588122971167
2013-04-23,2013-05-28,Bull Call Diagonal,10559.1699525625,3.2648,22500.0,1578.780029296875,13.479999542236328,45,24,roll_21dte,0.0,3234.247106273738,6891.693212447929
2013-05-28,2013-06-20,Bull Call Diagonal,-5345.6784062499455,2.8979,22500.0,1660.06005859375,14.479999542236328,45,17,trend_flip,0.0,-1844.6731792849807,7764.243072569792
2013-06-12,2013-07-05,Iron Condor,4266.972945653955,5.0133,22500.0,1612.52001953125,18.59000015258789,45,16,50pct_profit,57.0,851.1305817832476,4488.061755729759
2013-07-05,2013-08-08,Iron Condor,2475.719013942971,6.2099,22500.0,1631.8900146484375,14.890000343322754,45,24,roll_21dte,46.0,398.6729277352245,3623.246751155413
2013-08-08,2013-08-19,Bull Call Diagonal,-5419.261886433505,3.2143,22500.0,1697.47998046875,12.729999542236328,45,7,trend_flip,0.0,-1685.985093623341,6999.968889027159
2013-08-28,2013-10-02,Iron Condor,2350.5394325454295,5.621,22500.0,1634.9599609375,16.489999771118164,45,24,roll_21dte,51.0,418.1710429719675,4002.846468599893
2013-10-16,2013-11-19,Bull Call Diagonal,8275.670930102287,2.7569,22500.0,1721.5400390625,14.710000038146973,45,24,roll_21dte,0.0,3001.803086837494,8161.340636221844
2013-11-19,2013-12-24,Bull Call Diagonal,6114.05854949533,2.9074,22500.0,1787.8699951171875,13.390000343322754,45,24,roll_21dte,0.0,2102.9299544250293,7738.873220059159
2013-12-24,2014-01-24,Bull Call Diagonal,-2202.2759208073994,3.0238,22500.0,1833.3199462890625,12.479999542236328,45,20,trend_flip,0.0,-728.3140157442289,7440.96831801045
2014-02-10,2014-03-17,Iron Condor,2209.509200328686,5.4926,22500.0,1799.8399658203125,15.260000228881836,45,24,roll_21dte,52.0,402.2701817588548,4096.420638677493
2014-03-18,2014-04-11,Bull Call Diagonal,-5238.199747270162,2.5657,22500.0,1872.25,14.520000457763672,45,18,trend_flip,0.0,-2041.6259684570146,8769.536578711462
2014-04-07,2014-05-02,Iron Condor,3937.731153443958,5.2004,22500.0,1845.0400390625,15.56999969482422,45,18,50pct_profit,55.0,757.1977450665253,4326.590262287516
2014-05-02,2014-06-06,Bull Call Diagonal,8702.396154063657,2.8675,22500.0,1881.1400146484375,12.90999984741211,45,24,roll_21dte,0.0,3034.8373684616067,7846.556233653007
2014-06-06,2014-07-11,Bull Call Diagonal,3245.7161536651815,3.2509,22500.0,1949.43994140625,10.729999542236328,45,24,roll_21dte,0.0,998.4054119367503,6921.160294072411
2014-07-11,2014-07-31,Bull Call Diagonal,-1677.6772932991803,2.8926,22500.0,1967.5699462890625,12.079999923706056,45,14,trend_flip,0.0,-579.9893843943789,7778.469197261979
2014-08-13,2014-09-17,Iron Condor,2694.0350568482645,6.1259,22500.0,1946.719970703125,12.899999618530272,45,24,roll_21dte,47.0,439.77783784395183,3672.92969196363
2014-09-17,2014-10-01,Bull Call Diagonal,-3843.3854659402905,2.7388,22500.0,2001.5699462890625,12.649999618530272,45,10,trend_flip,0.0,-1403.3100138528885,8215.276763546079
2014-10-08,2014-11-11,Iron Condor,3080.4098486925104,5.1023,22500.0,1968.8900146484375,15.109999656677246,45,24,roll_21dte,56.0,603.7296608769595,4409.775983380045
2014-11-11,2014-12-15,Bull Call Diagonal,-1164.631461243588,2.6365,22500.0,2039.6800537109375,12.920000076293944,45,23,trend_flip,0.0,-441.73391285552367,8534.041342689172
2014-12-24,2015-01-05,Bull Call Diagonal,-2889.921561709419,2.3334,22500.0,2081.8798828125,14.369999885559082,45,6,trend_flip,0.0,-1238.5024263775688,9642.581640524555
2015-01-13,2015-02-05,Iron Condor,3860.983328878293,3.5108,22500.0,2023.030029296875,20.559999465942383,45,16,50pct_profit,81.0,1099.744596353621,6408.795716076108
2015-02-05,2015-02-27,Iron Condor,3935.195518123996,4.3372,22500.0,2062.52001953125,16.850000381469727,45,15,50pct_profit,66.0,907.3124407737702,5187.67868671032
2015-02-27,2015-03-10,Bull Call Diagonal,-4252.9562717996,2.4558,22500.0,2104.5,13.34000015258789,45,7,trend_flip,0.0,-1731.8007459074843,9161.983874908381
2015-03-26,2015-04-21,Iron Condor,3760.892262429496,4.7041,22500.0,2056.14990234375,15.800000190734863,45,17,50pct_profit,61.0,799.4924135178877,4783.061584575157
2015-03-18,2015-04-22,Bull Call Diagonal,464.1580006903063,2.3646,22500.0,2099.5,13.970000267028809,45,24,roll_21dte,0.0,196.29451099141772,9515.351433646283
2015-04-22,2015-05-27,Bull Call Diagonal,2158.25557881681,2.5891,22500.0,2107.9599609375,12.710000038146973,45,24,roll_21dte,0.0,833.5929777980032,8690.278475145802
2015-05-27,2015-06-08,Bull Call Diagonal,-3530.3924901853825,2.4673,22500.0,2123.47998046875,13.270000457763672,45,8,trend_flip,0.0,-1430.8728124611448,9119.280184817413
2015-06-10,2015-07-15,Iron Condor,4017.267068294684,5.6621,22500.0,2105.199951171875,13.220000267028809,45,24,50pct_profit,51.0,709.5012571827916,3973.790643047633
2015-07-15,2015-08-17,Iron Condor,3815.5808774322018,5.538,22500.0,2107.39990234375,13.229999542236328,45,23,50pct_profit,52.0,688.981740236945,4062.8385698808233
2015-08-17,2015-08-24,Iron Condor,-13234.991157892116,5.6425,22500.0,2102.43994140625,13.020000457763672,45,5,stop_loss,51.0,-2345.5899260774686,3987.5941515285776
2015-08-26,2015-09-10,Iron Condor (High Vol),1398.0562855075082,1.2955,21000.0,1940.510009765625,30.31999969482422,45,10,50pct_profit,178.0,1079.1634778135917,16209.957545349285
2015-08-27,2015-09-15,Iron Condor (High Vol),1360.6559351786866,1.5224,21000.0,1987.6600341796875,26.100000381469727,45,12,50pct_profit,152.0,893.7571828551542,13794.009458749344
2015-09-10,2015-10-02,Iron Condor (High Vol),1588.3683044454183,1.6683,21000.0,1952.2900390625,24.3700008392334,45,16,50pct_profit,139.0,952.0879364894913,12587.664089192593
2015-09-16,2015-10-08,Iron Condor,4139.798296231553,3.5174,22500.0,1995.31005859375,21.350000381469727,45,16,50pct_profit,81.0,1176.9483983145371,6396.770341729687
