variant,entry_date,exit_date,strategy,pnl,max_loss,n_contracts,pnl_source
V1b_weekly_catchup,2005-12-19,2006-01-02,Bull Call Diagonal,29860.530815852086,93802.1502589811,3,bootstrap
V1b_weekly_catchup,2005-12-27,2006-01-10,Bull Call Diagonal,-10029.367717946201,75837.79199082081,3,bootstrap
V1b_weekly_catchup,2006-01-03,2006-01-17,Bull Call Diagonal,-9582.094482367895,84248.8012899422,3,bootstrap
V1b_weekly_catchup,2006-01-09,2006-01-23,Bull Call Diagonal,-6543.9931921299985,87764.10541587253,3,bootstrap
V1b_weekly_catchup,2006-01-17,2006-01-31,Bull Call Diagonal,22832.151753839404,71291.64199463805,3,bootstrap
V1b_weekly_catchup,2006-01-30,2006-02-13,Bull Call Diagonal,-6445.296829293575,88904.05108457615,3,bootstrap
V1b_weekly_catchup,2006-02-14,2006-02-28,Iron Condor,7017.287770013745,39469.63325912136,3,engine_d+0
V1b_weekly_catchup,2006-02-21,2006-03-07,Bull Call Diagonal,-13206.695589199024,102823.08512941448,3,bootstrap
V1b_weekly_catchup,2006-02-27,2006-03-13,Bull Call Diagonal,13002.25191870843,106592.23102127414,3,bootstrap
V1b_weekly_catchup,2006-03-08,2006-03-22,Iron Condor,-11651.00591443564,61505.61466773515,3,bootstrap
V1b_weekly_catchup,2006-03-13,2006-03-27,Bull Call Diagonal,-13027.184180649514,85668.58243839347,3,bootstrap
V1b_weekly_catchup,2006-03-20,2006-04-03,Bull Call Diagonal,3437.5750109370965,84441.059282818,3,engine_d+1
V1b_weekly_catchup,2006-03-27,2006-04-10,Bull Call Diagonal,28037.8617772069,105483.94438145988,3,bootstrap
V1b_weekly_catchup,2006-04-03,2006-04-17,Bull Call Diagonal,38091.828176224095,84249.75468545091,3,bootstrap
V1b_weekly_catchup,2006-04-10,2006-04-24,Bull Call Diagonal,14125.328030407374,73246.50961198253,3,bootstrap
V1b_weekly_catchup,2006-04-18,2006-05-02,Bull Call Diagonal,6066.317355117419,94936.54883945937,3,bootstrap
V1b_weekly_catchup,2006-04-24,2006-05-08,Bull Call Diagonal,-3037.594357975823,85261.01131524872,3,engine_d+1
V1b_weekly_catchup,2006-05-01,2006-05-15,Bull Call Diagonal,40898.88067350922,103122.46380959282,3,bootstrap
V1b_weekly_catchup,2006-05-08,2006-05-22,Bull Call Diagonal,-16946.395887278053,90216.68712745147,3,bootstrap
V1b_weekly_catchup,2006-05-30,2006-06-13,Iron Condor,10838.8164418577,64254.48982158223,3,engine_d+0
V1b_weekly_catchup,2006-06-05,2006-06-19,Iron Condor,8126.470384475496,59584.60421854914,3,bootstrap
V1b_weekly_catchup,2006-06-19,2006-07-03,Iron Condor,8826.128382205628,51513.24386342698,3,engine_d+2
V1b_weekly_catchup,2006-06-26,2006-07-10,Iron Condor,14087.961633807941,70516.23578330531,3,bootstrap
V1b_weekly_catchup,2006-08-15,2006-08-29,Bull Call Diagonal,25433.377418481345,96163.89322510148,3,engine_d+0
V1b_weekly_catchup,2006-08-21,2006-09-04,Bull Call Diagonal,-1115.188267086341,103018.01774139437,3,bootstrap
V1b_weekly_catchup,2006-08-28,2006-09-11,Bull Call Diagonal,-775.8303087990373,84221.26181516537,3,bootstrap
V1b_weekly_catchup,2006-09-05,2006-09-19,Bull Call Diagonal,-9809.933910188362,100805.0585829115,3,bootstrap
V1b_weekly_catchup,2006-09-11,2006-09-25,Bull Call Diagonal,45478.334173794894,96907.47696148785,3,bootstrap
V1b_weekly_catchup,2006-09-18,2006-10-02,Bull Call Diagonal,40657.39952668972,86980.43917046061,3,engine_d+1
V1b_weekly_catchup,2006-09-25,2006-10-09,Bull Call Diagonal,-6543.9931921299985,87764.10541587253,3,bootstrap
V1b_weekly_catchup,2006-10-02,2006-10-16,Bull Call Diagonal,19234.337502756804,106694.39528330673,3,bootstrap
V1b_weekly_catchup,2006-10-09,2006-10-23,Bull Call Diagonal,5484.517797121445,81227.98762609827,3,bootstrap
V1b_weekly_catchup,2006-10-16,2006-10-30,Bull Call Diagonal,-10891.485675781014,96148.28327870119,3,bootstrap
V1b_weekly_catchup,2006-10-23,2006-11-06,Bull Call Diagonal,5484.517797121445,81227.98762609827,3,engine_d+0
V1b_weekly_catchup,2006-10-30,2006-11-13,Bull Call Diagonal,-24208.357056881145,103983.82269856828,3,bootstrap
V1b_weekly_catchup,2006-11-06,2006-11-20,Bull Call Diagonal,34803.229420367155,103147.38443846884,3,bootstrap
V1b_weekly_catchup,2006-11-13,2006-11-27,Bull Call Diagonal,13002.25191870843,106592.23102127414,3,bootstrap
V1b_weekly_catchup,2006-11-20,2006-12-04,Bull Call Diagonal,-18357.78686067425,105873.89281779103,3,bootstrap
V1b_weekly_catchup,2006-11-27,2006-12-11,Bull Call Diagonal,25676.226977548395,89196.77653902923,3,engine_d+0
V1b_weekly_catchup,2006-12-04,2006-12-18,Bull Call Diagonal,25676.226977548395,89196.77653902923,3,bootstrap
V1b_weekly_catchup,2006-12-11,2006-12-25,Bull Call Diagonal,22538.114691410257,90201.54353936925,3,bootstrap
V1b_weekly_catchup,2006-12-18,2007-01-01,Bull Call Diagonal,-21880.14558421493,103880.09469470984,3,bootstrap
V1b_weekly_catchup,2006-12-26,2007-01-09,Bull Call Diagonal,13002.25191870843,106592.23102127414,3,bootstrap
V1b_weekly_catchup,2007-01-03,2007-01-17,Bull Call Diagonal,23513.622949919252,86914.84496522018,3,engine_d+0
V1b_weekly_catchup,2007-01-08,2007-01-22,Bull Call Diagonal,-8741.078073986972,104872.08740247804,3,bootstrap
V1b_weekly_catchup,2007-01-16,2007-01-30,Bull Call Diagonal,-14381.809948328519,104305.34298460206,3,bootstrap
V1b_weekly_catchup,2007-01-22,2007-02-05,Bull Call Diagonal,-12207.031286600408,105995.77503543612,3,bootstrap
V1b_weekly_catchup,2007-01-29,2007-02-12,Bull Call Diagonal,11369.72710685674,78817.38506782136,3,bootstrap
V1b_weekly_catchup,2007-02-05,2007-02-19,Bull Call Diagonal,-10029.367717946201,75837.79199082081,3,engine_d+2
V1b_weekly_catchup,2007-02-12,2007-02-26,Bull Call Diagonal,22832.151753839404,71291.64199463805,3,bootstrap
V1b_weekly_catchup,2007-02-20,2007-03-06,Bull Call Diagonal,24888.481537145697,86547.22406348723,3,bootstrap
V1b_weekly_catchup,2007-02-26,2007-03-12,Bull Call Diagonal,40898.88067350922,103122.46380959282,3,bootstrap
V1b_weekly_catchup,2007-03-13,2007-03-27,Iron Condor,2891.808389564465,62449.61298787876,3,engine_d+0
V1b_weekly_catchup,2007-03-26,2007-04-09,Bull Call Diagonal,8778.992224731519,91521.74885828247,3,bootstrap
V1b_weekly_catchup,2007-04-03,2007-04-17,Bull Call Diagonal,-9633.676895505536,100773.57948309567,3,bootstrap
V1b_weekly_catchup,2007-04-09,2007-04-23,Bull Call Diagonal,34803.229420367155,103147.38443846884,3,bootstrap
V1b_weekly_catchup,2007-04-16,2007-04-30,Bull Call Diagonal,35007.60740690828,88378.8069218285,3,engine_d+1
V1b_weekly_catchup,2007-04-23,2007-05-07,Bull Call Diagonal,22832.151753839404,71291.64199463805,3,bootstrap
