candidate,trigger_date,lookback_days,booster_active_in_window,vix_20_22_booster_days,incremental_pnl_usd,incremental_pct_nlv,has_second_leg_next_20d,severity,failed_benign,window_type
B2_moderate_85,2002-02-20,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-21,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-22,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-25,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-26,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-27,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-02-28,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-03-01,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-03-04,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-04-05,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-04-08,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-04-09,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-04-10,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-04-11,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-04-12,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-04-15,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-04-16,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-04-17,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-04-22,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-04-23,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-04-24,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-04-25,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-04-26,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-04-29,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-04-30,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-05-01,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-05-02,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-05-03,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-05-06,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-05-07,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-05-08,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-05-09,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-05-10,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-05-13,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-05-14,10,0,0,0.0,0.0,False,mild,False,10d_primary
B2_moderate_85,2002-05-15,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-05-16,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-05-17,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-05-20,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-05-21,10,0,0,0.0,0.0,True,acute,False,10d_primary
B2_moderate_85,2002-05-22,10,0,0,0.0,0.0,True,acute,False,10d_primary
