signal,stratum,endpoint,n_on,mean_diff_bp,t,p,sign_consistent,bh_pass,survive
F2_pmhigh_brk,B_norm_bull,fwd21,825,53.31733,2.50241,0.33633,True,False,False
F2_gap_up,A_all,fwd21,764,21.65116,1.25967,0.48176,True,False,False
F2_gap_up,B_norm_bull,fwd21,220,13.63681,0.45792,0.72014,True,False,False
F3_rsi2_os,A_all,fwd21,664,84.08369,3.81528,0.01000,True,False,False
F3_rsi2_os,B_norm_bull,fwd21,71,105.13079,2.80788,0.04148,True,False,False
F3_rsi14_os,A_all,fwd21,126,276.31795,4.33456,0.02749,True,False,False
F3_rsi14_os,B_norm_bull,fwd21,0,,,,False,False,False
F3_ibs_low,A_all,fwd21,1367,33.38310,2.16372,0.06797,True,False,False
F3_ibs_low,B_norm_bull,fwd21,217,67.91595,2.60180,0.01299,True,False,False
F3_pctb_low,A_all,fwd21,331,105.47772,3.13292,0.05597,True,False,False
F3_pctb_low,B_norm_bull,fwd21,0,,,,False,False,False
F3_down3,A_all,fwd21,556,69.46259,2.95075,0.01649,True,False,False
F3_down3,B_norm_bull,fwd21,74,57.82207,1.45936,0.25537,True,False,False
F3_z5_low,A_all,fwd21,905,59.00081,2.79134,0.20390,True,False,False
F3_z5_low,B_norm_bull,fwd21,52,-82.53099,-1.49290,0.41579,True,False,False
F4_engulf,A_all,fwd21,178,-16.37667,-0.45895,0.65267,False,False,False
F4_engulf,B_norm_bull,fwd21,44,-107.36390,-1.30186,0.19840,True,False,False
F4_hammer,A_all,fwd21,110,-44.77507,-0.76234,0.49625,False,False,False
F4_hammer,B_norm_bull,fwd21,0,,,,False,False,False
F4_rev3,A_all,fwd21,746,0.01628,0.00087,0.99800,False,False,False
F4_rev3,B_norm_bull,fwd21,154,23.47373,0.70071,0.39230,True,False,False
F5_vrp_rich,A_all,fwd21,3319,33.71045,2.91402,0.31434,True,False,False
F5_vrp_rich,B_norm_bull,fwd21,906,88.22370,3.86466,0.12844,True,False,False
F5_atrp_low,A_all,fwd21,3343,-51.47658,-4.39684,0.24388,True,False,False
F5_atrp_low,B_norm_bull,fwd21,1049,80.34122,3.06351,0.34783,True,False,False
F5_vix5d_dn,A_all,fwd21,3497,-11.09551,-0.94414,0.54973,False,False,False
F5_vix5d_dn,B_norm_bull,fwd21,893,-56.32732,-2.65722,0.08696,True,False,False
F5_skew_high,A_all,fwd21,3329,-12.59369,-1.07014,0.74063,False,False,False
F5_skew_high,B_norm_bull,fwd21,924,23.47949,1.06930,0.72564,False,False,False
F5_vixts_cont,A_all,fwd21,4442,-78.90814,-2.29707,0.56872,True,False,False
F5_vixts_cont,B_norm_bull,fwd21,0,,,,False,False,False
F5_vvix_low,A_all,fwd21,2246,4.69215,0.35033,0.92154,False,False,False
F5_vvix_low,B_norm_bull,fwd21,634,73.48572,3.02669,0.25737,True,False,False
F6_xlu_weak,A_all,fwd21,3442,16.43986,1.41030,0.71164,False,False,False
F6_xlu_weak,B_norm_bull,fwd21,974,100.59033,4.16835,0.12894,True,False,False
F6_rsp_strong,A_all,fwd21,2891,46.38787,3.91307,0.24388,True,False,False
F6_rsp_strong,B_norm_bull,fwd21,737,77.13496,3.42040,0.27786,True,False,False
F6_tlt_up,A_all,fwd21,3215,32.86752,2.82886,0.43278,True,False,False
F6_tlt_up,B_norm_bull,fwd21,698,4.15967,0.19368,0.96052,False,False,False
F6_hyg_strong,A_all,fwd21,2988,32.88573,2.09233,0.59970,False,False,False
F6_hyg_strong,B_norm_bull,fwd21,815,18.98687,0.73770,0.81809,False,False,False
F6_dxy_dn,A_all,fwd21,3274,28.11495,2.43796,0.52824,True,False,False
F6_dxy_dn,B_norm_bull,fwd21,817,155.54798,7.39787,0.01599,True,False,False
F6_gld_up,A_all,fwd21,3359,42.15953,3.25219,0.40930,True,False,False
F6_gld_up,B_norm_bull,fwd21,815,-20.18126,-0.82979,0.82459,True,False,False
F7_tom,A_all,fwd21,2188,-3.66913,-0.30052,0.34933,True,False,False
F7_tom,B_norm_bull,fwd21,508,-1.65051,-0.07753,0.93203,True,False,False
F7_opex_wk,A_all,fwd21,1506,3.72357,0.27020,0.69165,False,False,False
F7_opex_wk,B_norm_bull,fwd21,341,14.58235,0.54716,0.59870,True,False,False
F7_halloween,A_all,fwd21,3209,24.57855,2.11320,0.39180,False,False,False
F7_halloween,B_norm_bull,fwd21,759,-20.91772,-0.99858,0.38031,False,False,False
F7_monday,A_all,fwd21,1227,12.34588,0.84140,0.06197,True,False,False
F7_monday,B_norm_bull,fwd21,286,5.98420,0.23806,0.71314,True,False,False
F10_spyvol_hi,A_all,fwd21,1110,2.12785,0.12554,0.92604,False,False,False
F10_spyvol_hi,B_norm_bull,fwd21,201,41.28451,1.33961,0.29485,True,False,False
F1_sma5_10,A_all,fwd31,3867,-36.58775,-2.46875,0.28186,True,False,False
F1_sma5_10,B_norm_bull,fwd31,1125,17.65635,0.53754,0.77161,False,False,False
F1_sma10_20,A_all,fwd31,4060,-49.53789,-3.22106,0.30685,False,False,False
F1_sma10_20,B_norm_bull,fwd31,1280,73.79737,1.69231,0.53673,True,False,False
F1_sma20_50,A_all,fwd31,4232,-49.37794,-3.11170,0.48876,False,False,False
F1_sma20_50,B_norm_bull,fwd31,1312,33.77366,0.79814,0.79810,True,False,False
F1_sma200,A_all,fwd31,4674,75.55536,3.86399,0.51724,False,False,False
F1_sma200,B_norm_bull,fwd31,1366,366.27967,6.06249,0.13343,True,False,False
F1_sma50_200,A_all,fwd31,4656,89.88055,4.71593,0.41879,False,False,False
F1_sma50_200,B_norm_bull,fwd31,1192,120.12100,2.94910,0.48176,True,False,False
F1_tsmom_12_1,A_all,fwd31,4877,86.43123,4.27016,0.53573,False,False,False
F1_tsmom_12_1,B_norm_bull,fwd31,1177,71.11685,1.96597,0.63818,True,False,False
F1_tsmom_3m,A_all,fwd31,4367,-28.14075,-1.62908,0.72614,False,False,False
F1_tsmom_3m,B_norm_bull,fwd31,1336,-25.16628,-0.48680,0.89555,True,False,False
F1_tsmom_6m,A_all,fwd31,4577,47.08825,2.52199,0.68266,False,False,False
F1_tsmom_6m,B_norm_bull,fwd31,1265,135.56068,3.09174,0.42229,True,False,False
F1_donchian55,A_all,fwd31,605,-50.05507,-2.62493,0.22089,False,False,False
F1_donchian55,B_norm_bull,fwd31,223,-5.47005,-0.14766,0.93553,False,False,False
F1_adx25,A_all,fwd31,2206,111.18280,7.38114,0.07946,True,False,False
F1_adx25,B_norm_bull,fwd31,409,13.22521,0.41660,0.89705,False,False,False
F1_macd_pos,A_all,fwd31,3315,-28.66416,-2.05463,0.37881,True,False,False
F1_macd_pos,B_norm_bull,fwd31,892,-16.56075,-0.59797,0.75862,False,False,False
F2_d63low_near,A_all,fwd31,3284,25.11768,1.80517,0.71814,False,False,False
F2_d63low_near,B_norm_bull,fwd31,341,-62.63077,-1.86669,0.57721,True,False,False
F2_d126low_near,A_all,fwd31,3305,9.54866,0.68721,0.89905,False,False,False
F2_d126low_near,B_norm_bull,fwd31,329,-32.60811,-0.88183,0.79010,True,False,False
F2_swing_near,A_all,fwd31,3283,18.05366,1.29711,0.67066,False,False,False
F2_swing_near,B_norm_bull,fwd31,428,-34.13815,-1.11635,0.65417,False,False,False
F2_near52wh,A_all,fwd31,2844,-69.00797,-5.21846,0.25187,True,False,False
F2_near52wh,B_norm_bull,fwd31,959,-11.53583,-0.38610,0.90505,False,False,False
F2_pmhigh_brk,A_all,fwd31,2232,-13.16831,-1.00522,0.77361,False,False,False
F2_pmhigh_brk,B_norm_bull,fwd31,819,72.98215,2.64325,0.32734,True,False,False
F2_gap_up,A_all,fwd31,761,40.54530,1.96699,0.37381,False,False,False
F2_gap_up,B_norm_bull,fwd31,218,35.42460,0.88003,0.52124,True,False,False
F3_rsi2_os,A_all,fwd31,664,96.69210,3.67622,0.01049,True,False,False
F3_rsi2_os,B_norm_bull,fwd31,71,165.80471,3.22197,0.01949,True,False,False
F3_rsi14_os,A_all,fwd31,126,317.26483,4.37519,0.03548,True,False,False
F3_rsi14_os,B_norm_bull,fwd31,0,,,,False,False,False
F3_ibs_low,A_all,fwd31,1367,36.61238,1.99484,0.11644,True,False,False
F3_ibs_low,B_norm_bull,fwd31,217,51.78686,1.41927,0.19490,True,False,False
F3_pctb_low,A_all,fwd31,331,142.19461,3.47994,0.03548,True,False,False
F3_pctb_low,B_norm_bull,fwd31,0,,,,False,False,False
F3_down3,A_all,fwd31,555,83.09242,2.96727,0.02149,True,False,False
F3_down3,B_norm_bull,fwd31,73,125.73870,2.47281,0.05097,True,False,False
F3_z5_low,A_all,fwd31,905,68.64601,2.74686,0.23088,True,False,False
F3_z5_low,B_norm_bull,fwd31,52,-108.81969,-1.07187,0.55922,False,False,False
F4_engulf,A_all,fwd31,177,-19.16893,-0.46738,0.67166,False,False,False
F4_engulf,B_norm_bull,fwd31,44,-121.73087,-1.20567,0.21289,True,False,False
F4_hammer,A_all,fwd31,110,-10.31234,-0.15536,0.88756,False,False,False
F4_hammer,B_norm_bull,fwd31,0,,,,False,False,False
F4_rev3,A_all,fwd31,745,5.00924,0.23000,0.74863,True,False,False
F4_rev3,B_norm_bull,fwd31,153,21.85878,0.49587,0.51374,False,False,False
F5_vrp_rich,A_all,fwd31,3313,63.38583,4.59742,0.17791,True,False,False
F5_vrp_rich,B_norm_bull,fwd31,900,128.32068,4.40315,0.11394,True,False,False
F5_atrp_low,A_all,fwd31,3339,-58.84893,-4.20609,0.35382,True,False,False
F5_atrp_low,B_norm_bull,fwd31,1049,92.52410,2.78042,0.46277,True,False,False
F5_vix5d_dn,A_all,fwd31,3492,-36.34950,-2.59149,0.11244,True,False,False
F5_vix5d_dn,B_norm_bull,fwd31,888,-87.61995,-3.23680,0.03348,True,False,False
F5_skew_high,A_all,fwd31,3329,-5.12461,-0.36403,0.94103,False,False,False
