entry_date,exit_date,strategy,family,hv,era,entry_delta_pershare,contracts,exit_pnl,delta_pnl,residual,fidelity_err
2013-12-24,2014-01-24,Bull Call Diagonal,BCD,nonHV,pre2020,0.4003,2.9566,-2153.34,-5721.36,3568.02,0.0
2014-02-10,2014-03-17,Iron Condor,IC,nonHV,pre2020,-0.0006,18.3088,7365.03,401.35,6963.68,0.0
2014-03-18,2014-04-11,Bull Call Diagonal,BCD,nonHV,pre2020,0.4003,2.5087,-5121.8,-6781.53,1659.74,0.0
2014-04-07,2014-05-02,Iron Condor,IC,nonHV,pre2020,0.0001,17.3347,13125.77,3698.4,9427.37,0.0
2014-05-02,2014-06-06,Bull Call Diagonal,BCD,nonHV,pre2020,0.3974,2.8038,8509.01,8552.86,-43.85,0.0
2014-05-06,2014-06-10,Iron Condor,IC,nonHV,pre2020,0.0022,20.4533,6175.87,-9554.53,15730.4,0.0
2014-06-10,2014-07-15,Bull Call Diagonal,BCD,nonHV,pre2020,0.4005,3.115,3592.32,2938.18,654.14,0.0
2014-07-15,2014-07-31,Bull Call Diagonal,BCD,nonHV,pre2020,0.3977,2.869,-2101.46,-5462.03,3360.57,0.0
2014-08-13,2014-09-17,Iron Condor,IC,nonHV,pre2020,0.0016,20.4196,8980.12,-2517.15,11497.27,0.0
2014-09-17,2014-10-01,Bull Call Diagonal,BCD,nonHV,pre2020,0.3988,2.6779,-3757.98,-5929.03,2171.06,0.0
2014-10-08,2014-11-11,Iron Condor,IC,nonHV,pre2020,-0.0019,17.0075,10268.03,1671.98,8596.05,0.0
2014-11-11,2014-12-15,Bull Call Diagonal,BCD,nonHV,pre2020,0.3987,2.578,-1138.75,-4752.93,3614.18,0.0
2014-12-24,2015-01-05,Bull Call Diagonal,BCD,nonHV,pre2020,0.3983,2.2816,-2825.7,-5069.99,2244.29,0.0
2015-01-13,2015-02-05,Iron Condor,IC,nonHV,pre2020,0.0005,11.7026,12869.94,4350.73,8519.21,0.0
2015-02-05,2015-02-27,Iron Condor,IC,nonHV,pre2020,0.0019,14.4574,13117.32,-304.8,13422.12,0.0
2015-02-27,2015-03-10,Bull Call Diagonal,BCD,nonHV,pre2020,0.4023,2.4012,-4158.45,-5777.82,1619.38,0.0
2015-03-26,2015-04-21,Iron Condor,IC,nonHV,pre2020,0.0013,15.6804,12536.31,1796.63,10739.68,0.0
2015-03-18,2015-04-22,Bull Call Diagonal,BCD,nonHV,pre2020,0.4011,2.3121,453.84,1098.81,-644.96,0.0
2015-04-22,2015-05-27,Bull Call Diagonal,BCD,nonHV,pre2020,0.3992,2.5315,2110.29,1291.84,818.45,0.0
2015-05-12,2015-06-11,Iron Condor,IC,nonHV,pre2020,0.0006,17.3883,13463.56,4700.58,8762.98,0.0
2015-06-11,2015-07-16,Iron Condor,IC,nonHV,pre2020,-0.0012,18.7361,14588.94,7711.22,6877.72,0.0
2015-07-16,2015-07-24,Bull Call Diagonal,BCD,nonHV,pre2020,0.4008,2.6196,-3985.41,-4873.83,888.42,0.0
2015-08-04,2015-08-24,Iron Condor,IC,nonHV,pre2020,0.0003,18.7838,-42280.68,-14342.78,-27937.9,0.0
2015-08-26,2015-09-10,Iron Condor (High Vol),IC,HV,pre2020,-0.0423,4.3183,4660.19,1045.87,3614.32,0.0
2015-08-27,2015-09-15,Iron Condor (High Vol),IC,HV,pre2020,-0.043,5.0745,4535.52,1812.52,2723.0,0.0
2015-09-10,2015-10-02,Iron Condor (High Vol),IC,HV,pre2020,-0.041,5.5612,5294.56,1305.57,3988.99,0.0
2015-09-16,2015-10-08,Iron Condor,IC,nonHV,pre2020,0.0018,11.7246,13799.33,5078.48,8720.85,0.0
2015-09-23,2015-10-15,Iron Condor (High Vol),IC,HV,pre2020,0.0021,10.6651,11187.04,-106.48,11293.52,0.0
2015-10-16,2015-10-29,Bull Put Spread,BPS,nonHV,pre2020,0.1496,18.8686,16430.27,14968.95,1461.32,0.0
2015-10-30,2015-11-12,Bull Put Spread,BPS,nonHV,pre2020,0.1488,18.5039,-11655.71,-9031.61,-2624.1,0.0
2015-10-13,2015-11-16,Iron Condor,IC,nonHV,pre2020,-0.001,13.9461,10228.91,5274.35,4954.56,0.0
2015-11-25,2015-12-09,Bull Put Spread,BPS,nonHV,pre2020,0.1496,18.1588,-14849.11,-10939.3,-3909.82,0.0
2015-12-03,2016-01-08,Iron Condor,IC,nonHV,pre2020,0.0004,13.2077,-14207.25,-4997.09,-9210.16,0.0
2016-01-29,2016-03-01,Iron Condor,IC,nonHV,pre2020,0.0015,12.5064,13744.39,7243.89,6500.51,0.0
2016-02-16,2016-03-10,Iron Condor (High Vol),IC,HV,pre2020,-0.0373,6.014,4603.37,-2012.36,6615.73,0.0
2016-02-17,2016-03-10,Iron Condor (High Vol),IC,HV,pre2020,-0.0419,6.2419,4573.41,-620.69,5194.09,0.0
2016-03-11,2016-03-24,Bull Put Spread,BPS,nonHV,pre2020,0.151,17.2546,9586.65,4293.81,5292.83,0.0
2016-03-28,2016-04-08,Bull Put Spread,BPS,nonHV,pre2020,0.15,18.4912,5982.64,5713.83,268.8,0.0
2016-03-24,2016-04-28,Bull Call Diagonal,BCD,nonHV,pre2020,0.3988,2.2744,4607.1,3592.14,1014.96,0.0
2016-05-02,2016-05-19,Bull Call Diagonal,BCD,nonHV,pre2020,0.4003,2.2333,-3302.44,-3960.49,658.05,0.0
2016-05-16,2016-06-20,Iron Condor,IC,nonHV,pre2020,0.0014,16.8151,6027.71,3423.05,2604.67,0.0
2016-06-22,2016-07-07,Iron Condor,IC,nonHV,pre2020,0.0005,11.0183,15050.22,7833.43,7216.79,0.0
2016-07-07,2016-08-10,Iron Condor,IC,nonHV,pre2020,0.0,16.452,10751.25,-4546.8,15298.05,0.0
2016-08-10,2016-09-09,Bull Call Diagonal,BCD,nonHV,pre2020,0.3998,2.5649,-2043.05,-5856.92,3813.87,0.0
2016-10-03,2016-11-04,Iron Condor,IC,nonHV,pre2020,-0.0014,17.0299,-12207.33,-5812.68,-6394.64,0.0
2016-11-09,2016-12-14,Bull Call Diagonal,BCD,nonHV,pre2020,0.3992,2.1893,8725.31,8967.1,-241.79,0.0
2016-12-14,2017-01-20,Bull Call Diagonal,BCD,nonHV,pre2020,0.3986,2.2831,1405.77,1754.94,-349.17,0.0
2017-01-20,2017-02-24,Bull Call Diagonal,BCD,nonHV,pre2020,0.4018,2.5523,9946.86,9446.99,499.87,0.0
2017-02-24,2017-03-30,Bull Call Diagonal,BCD,nonHV,pre2020,0.4012,2.4673,-117.39,-59.21,-58.18,0.0
2017-03-30,2017-04-12,Bull Call Diagonal,BCD,nonHV,pre2020,0.4013,2.4489,-202.66,-2159.17,1956.51,0.0
2017-04-24,2017-05-17,Bull Call Diagonal,BCD,nonHV,pre2020,0.3996,2.6034,731.65,-2071.16,2802.81,0.0
2017-05-19,2017-06-23,Bull Call Diagonal,BCD,nonHV,pre2020,0.4014,2.3366,5987.83,5985.59,2.24,0.0
2017-06-23,2017-07-28,Bull Call Diagonal,BCD,nonHV,pre2020,0.4007,2.7347,4242.62,3902.45,340.17,0.0
2017-07-28,2017-08-10,Bull Call Diagonal,BCD,nonHV,pre2020,0.4003,2.6235,-94.39,-3569.23,3474.85,0.0
2017-08-14,2017-08-17,Bull Call Diagonal,BCD,nonHV,pre2020,0.3986,2.2278,-1594.94,-3368.16,1773.22,0.0
2017-08-22,2017-09-21,Iron Condor,IC,nonHV,pre2020,-0.0004,18.4386,12850.13,-99.89,12950.02,0.0
2017-09-21,2017-10-25,Bull Call Diagonal,BCD,nonHV,pre2020,0.4025,2.7396,7045.81,6295.11,750.7,0.0
2017-10-25,2017-11-29,Bull Call Diagonal,BCD,nonHV,pre2020,0.3995,2.3442,7170.47,7235.51,-65.04,0.0
2017-11-29,2018-01-04,Bull Call Diagonal,BCD,nonHV,pre2020,0.3982,2.3868,9685.85,9729.93,-44.08,0.0
2018-01-04,2018-02-05,Bull Call Diagonal,BCD,nonHV,pre2020,0.4016,2.6348,13595.95,-1253.11,14849.06,0.0
2018-02-07,2018-02-22,Iron Condor (High Vol),IC,HV,pre2020,-0.0398,3.5425,6228.31,1034.58,5193.73,0.0
2018-02-08,2018-02-23,Iron Condor (High Vol),IC,HV,pre2020,-0.0392,2.9145,6343.43,-1931.91,8275.35,0.0
2018-02-22,2018-03-16,Iron Condor,IC,nonHV,pre2020,-0.0023,9.6693,12032.14,4008.77,8023.37,0.0
2018-03-16,2018-04-20,Iron Condor,IC,nonHV,pre2020,0.0001,11.6457,3648.99,4778.66,-1129.68,0.0
