entry_date,exit_date,strategy,family,hv,era,entry_delta_pershare,contracts,exit_pnl,delta_pnl,residual,fidelity_err,in_ep,pos,tercile
2017-06-23,2017-07-28,Bull Call Diagonal,BCD,nonHV,pre2020,0.4007,2.7347,4242.62,3902.45,340.17,0.0,True,0.37173701889999594,mid
2017-07-28,2017-08-10,Bull Call Diagonal,BCD,nonHV,pre2020,0.4003,2.6235,-94.39,-3569.23,3474.85,0.0,True,0.8904402462877122,top
2017-08-14,2017-08-17,Bull Call Diagonal,BCD,nonHV,pre2020,0.3986,2.2278,-1594.94,-3368.16,1773.22,0.0,True,0.6470763126147091,mid
2017-09-21,2017-10-25,Bull Call Diagonal,BCD,nonHV,pre2020,0.4025,2.7396,7045.81,6295.11,750.7,0.0,True,0.848384424192212,top
2017-10-25,2017-11-29,Bull Call Diagonal,BCD,nonHV,pre2020,0.3995,2.3442,7170.47,7235.51,-65.04,0.0,True,0.4074780129119075,mid
2017-11-29,2018-01-04,Bull Call Diagonal,BCD,nonHV,pre2020,0.3982,2.3868,9685.85,9729.93,-44.08,0.0,True,0.984460558841015,top
2018-01-04,2018-02-05,Bull Call Diagonal,BCD,nonHV,pre2020,0.4016,2.6348,13595.95,-1253.11,14849.06,0.0,True,1.0,top
2018-05-09,2018-06-13,Bull Call Diagonal,BCD,nonHV,pre2020,0.3998,1.8726,6734.71,5791.78,942.94,0.0,True,1.0,top
2018-06-13,2018-06-27,Bull Call Diagonal,BCD,nonHV,pre2020,0.4,1.886,-3073.88,-6023.81,2949.93,0.0,True,0.8843157441645627,top
2018-07-06,2018-08-09,Bull Call Diagonal,BCD,nonHV,pre2020,0.3994,1.8377,7817.63,7169.69,647.94,0.0,True,0.7520950082824135,top
2018-08-09,2018-09-13,Bull Call Diagonal,BCD,nonHV,pre2020,0.3999,2.0905,5179.29,4103.39,1075.9,0.0,True,0.9139900394541104,top
2018-09-13,2018-10-10,Bull Call Diagonal,BCD,nonHV,pre2020,0.3994,1.8802,-2088.92,-9186.12,7097.2,0.0,True,0.827197734021342,top
2019-01-31,2019-02-13,Bull Put Spread,BPS,nonHV,pre2020,0.1499,12.9379,13204.26,10073.73,3130.53,0.0,True,1.0,top
2019-02-13,2019-02-27,Bull Put Spread,BPS,nonHV,pre2020,0.1513,13.2642,12064.57,7881.21,4183.35,0.0,True,1.0,top
2019-03-06,2019-03-19,Bull Put Spread,BPS,nonHV,pre2020,0.1509,13.0646,16612.7,11572.84,5039.87,0.0,True,0.4437541069232195,mid
2019-02-27,2019-04-02,Bull Call Diagonal,BCD,nonHV,pre2020,0.401,1.6581,5847.65,6296.9,-449.25,0.0,True,0.9585806997283713,top
2019-04-02,2019-05-07,Bull Call Diagonal,BCD,nonHV,pre2020,0.4003,1.7678,3954.34,1715.45,2238.89,0.0,True,1.0,top
2019-06-18,2019-07-01,Bull Put Spread,BPS,nonHV,pre2020,0.1508,12.8872,13145.6,9683.63,3461.97,0.0,True,1.0,top
2019-07-01,2019-08-05,Bull Call Diagonal,BCD,nonHV,pre2020,0.3991,1.6349,-2103.14,-8565.58,6462.44,0.0,True,1.0,top
2019-09-05,2019-09-18,Bull Put Spread,BPS,nonHV,pre2020,0.1495,11.9841,12246.56,5706.53,6540.02,0.0,True,1.0,top
2019-09-18,2019-10-02,Bull Call Diagonal,BCD,nonHV,pre2020,0.4007,1.6197,-4065.41,-7446.42,3381.02,0.0,True,0.9766497991758281,top
2019-10-11,2019-11-14,Bull Call Diagonal,BCD,nonHV,pre2020,0.4002,1.4842,8571.08,8314.88,256.19,0.0,True,0.7935103590512796,top
2019-11-14,2019-12-19,Bull Call Diagonal,BCD,nonHV,pre2020,0.3997,1.6758,8099.51,7390.65,708.86,0.0,True,1.0,top
2019-12-19,2020-01-27,Bull Call Diagonal,BCD,nonHV,pre2020,0.4006,1.6838,5200.78,3181.87,2018.91,0.0,True,1.0,top
2020-02-06,2020-02-24,Bull Call Diagonal,BCD,nonHV,post2020,0.3984,1.3697,-1500.1,-6529.39,5029.29,0.0,True,1.0,top
2020-04-27,2020-05-11,Bull Put Spread (High Vol),BPS,HV,post2020,0.0998,6.1135,9726.01,4547.05,5178.96,0.0,True,1.0,top
2020-05-11,2020-05-27,Bull Put Spread (High Vol),BPS,HV,post2020,0.0997,7.0248,9224.8,8236.67,988.12,0.0,True,0.9540770110780564,top
2020-06-25,2020-07-06,Bull Put Spread (High Vol),BPS,HV,post2020,0.0998,5.8488,9294.23,5525.8,3768.43,0.0,True,0.35459631260290037,mid
2020-07-07,2020-07-20,Bull Put Spread (High Vol),BPS,HV,post2020,0.0989,6.2642,11109.7,5973.33,5136.37,0.0,True,0.7984419166199375,top
2020-08-17,2020-08-27,Bull Put Spread,BPS,nonHV,post2020,0.1495,8.1712,10528.4,11217.36,-688.97,0.0,True,1.0,top
2020-11-06,2020-11-23,Bull Put Spread (High Vol),BPS,HV,post2020,0.0992,6.4677,8847.63,5328.91,3518.71,0.0,True,0.9958002003965293,top
2020-11-23,2020-12-08,Bull Put Spread (High Vol),BPS,HV,post2020,0.0992,6.8707,10587.46,7110.46,3477.01,0.0,True,0.8086524763579049,top
2020-12-09,2020-12-30,Bull Put Spread (High Vol),BPS,HV,post2020,0.0986,6.8765,7608.6,4078.64,3529.95,0.0,True,0.7966281557263654,top
2020-12-30,2021-01-20,Bull Put Spread (High Vol),BPS,HV,post2020,0.0999,6.5612,10648.57,7691.02,2957.55,0.0,True,0.9622161837762144,top
2021-02-18,2021-03-10,Bull Put Spread (High Vol),BPS,HV,post2020,0.0992,6.3563,3665.66,2181.51,1484.14,0.0,True,0.9054349738859615,top
2021-03-10,2021-03-26,Bull Put Spread (High Vol),BPS,HV,post2020,0.101,6.2066,10432.3,5694.65,4737.64,0.0,True,0.8304034169741238,top
2021-04-01,2021-05-06,Bull Call Diagonal,BCD,nonHV,post2020,0.3996,0.9924,8310.39,7138.7,1171.69,0.0,True,1.0,top
2021-05-19,2021-06-03,Bull Put Spread (High Vol),BPS,HV,post2020,0.1005,6.0334,10286.95,4512.01,5774.94,0.0,True,0.3104512770007401,bottom
2021-05-07,2021-06-11,Bull Call Diagonal,BCD,nonHV,post2020,0.4008,0.9734,512.69,604.81,-92.12,0.0,True,1.0,top
2021-06-11,2021-06-18,Bull Call Diagonal,BCD,nonHV,post2020,0.4,1.0294,-1322.26,-3141.72,1819.46,0.0,True,1.0,top
2021-06-21,2021-07-26,Bull Call Diagonal,BCD,nonHV,post2020,0.3995,0.9162,8324.85,7323.71,1001.14,0.0,True,0.6577230715028873,mid
2021-07-26,2021-08-27,Bull Call Diagonal,BCD,nonHV,post2020,0.4013,0.8858,3814.62,3323.51,491.11,0.0,True,1.0,top
2021-08-18,2021-08-31,Bull Put Spread,BPS,nonHV,post2020,0.1498,6.2274,18951.71,10439.55,8512.17,0.0,True,0.1416519821464372,bottom
2021-08-27,2021-09-20,Bull Call Diagonal,BCD,nonHV,post2020,0.4005,0.9283,-1529.07,-5598.71,4069.63,0.0,True,1.0,top
2021-10-18,2021-11-19,Bull Call Diagonal,BCD,nonHV,post2020,0.4005,0.9397,8891.38,7740.15,1151.23,0.0,True,1.0,top
2021-11-22,2021-12-06,Bull Put Spread,BPS,nonHV,post2020,0.1492,6.5258,-13362.88,-9992.28,-3370.6,0.0,True,0.7076727880682231,top
2021-12-10,2021-12-23,Bull Put Spread,BPS,nonHV,post2020,0.1502,6.6169,5770.56,3069.64,2700.91,0.0,True,1.0,top
2021-11-19,2021-12-27,Bull Call Diagonal,BCD,nonHV,post2020,0.3989,0.8251,3988.0,2488.1,1499.9,0.0,True,0.9275880968501145,top
2022-01-12,2022-01-18,Bull Call Diagonal,BCD,nonHV,post2020,0.4018,0.8274,-2916.36,-4910.19,1993.83,0.0,True,0.4439696675573567,mid
2022-03-22,2022-04-11,Bull Put Spread (High Vol),BPS,HV,post2020,0.1005,5.3471,-2860.36,-2620.01,-240.35,0.0,True,1.0,top
2022-11-28,2022-12-16,Bull Put Spread (High Vol),BPS,HV,post2020,0.1006,6.2604,-4532.65,-2814.29,-1718.36,0.0,True,0.7727938509733564,top
2023-02-01,2023-03-01,Bull Call Diagonal,BCD,nonHV,post2020,0.3999,0.9399,-5951.11,-6576.48,625.37,0.0,True,1.0,top
2023-04-13,2023-05-17,Bull Call Diagonal,BCD,nonHV,post2020,0.3996,0.9414,476.98,304.71,172.27,0.0,True,1.0,top
2023-05-17,2023-06-22,Bull Call Diagonal,BCD,nonHV,post2020,0.401,0.9816,9972.32,9289.56,682.77,0.0,True,0.9010718642951697,top
2023-06-22,2023-07-27,Bull Call Diagonal,BCD,nonHV,post2020,0.3987,1.1998,8291.18,7227.95,1063.23,0.0,True,0.7854225917882285,top
2023-07-27,2023-08-16,Bull Call Diagonal,BCD,nonHV,post2020,0.3995,1.0431,-4863.64,-5882.13,1018.49,0.0,True,0.8216732153412845,top
