entry_date,exit_date,exit_pnl,exit_reason,entry_credit,contracts,pnl_pct,hold_days,gate
2020-05-27,2020-06-05,3428.4576506492144,roll_up,-21.30747890586997,2.0252,79.4508967550501,7,hv_bullish_vix_rising
2020-06-05,2020-06-25,-3162.6688523892267,roll_21dte,-19.66706396273088,2.1356,-75.29987912042044,14,hv_bullish_vix_rising
2020-06-25,2020-07-06,2788.268946932086,roll_up,-25.317033095920067,1.7546,62.76878578782856,6,hv_bullish_vix_rising
2020-07-07,2020-07-20,3332.9098499087904,roll_up,-23.253999006215906,1.8793,76.26579530831268,9,hv_bullish_vix_rising
2020-11-06,2020-11-23,2654.2876584831492,profit_target,-21.769300936766683,1.9403,62.83977495052731,11,hv_bullish_vix_rising
2020-11-23,2020-12-08,3176.2389134100404,profit_target,-20.11750748673893,2.0612,76.59825160626362,10,hv_bullish_vix_rising
2020-12-09,2020-12-30,2282.5786048211767,roll_21dte,-20.203361338390323,2.0629,54.76762839243413,14,hv_bullish_vix_rising
2020-12-30,2021-01-20,3194.5705862381146,profit_target,-21.31259797517231,1.9684,76.14874311776134,13,hv_bullish_vix_rising
2021-01-25,2021-02-11,2690.3148978611953,profit_target,-22.651221197773737,1.8527,64.10713877566012,13,hv_bullish_vix_rising
2021-02-18,2021-03-10,1099.697428826707,roll_21dte,-21.872495961765424,1.9069,26.366163804025906,14,hv_bullish_vix_rising
2021-03-10,2021-03-26,3129.6885545580176,profit_target,-22.216921877423033,1.862,75.65498632478524,12,hv_bullish_vix_rising
2022-03-22,2022-04-11,-858.1075961512454,roll_21dte,-26.08719070695969,1.6041,-20.50609639544462,14,hv_bullish_vix_rising
2022-11-28,2022-12-16,-1359.7963698085198,roll_21dte,-22.18641557919301,1.8781,-32.6338280691019,14,hv_bullish_vix_rising
2025-05-02,2025-05-13,3455.9409996652994,roll_up,-32.120161879599436,1.2973,82.93697213193707,7,hv_bullish_vix_rising
2005-04-15,2005-05-10,3668.2423903843196,profit_target,-8.20974951042949,7.3075,61.14476705565912,17,nhbe_vix_rising
2005-05-12,2005-06-10,3845.951230637168,profit_target,-7.816380671638598,7.7098,63.81972940826397,20,nhbe_vix_rising
2006-06-21,2006-07-24,3855.0841241162593,profit_target,-7.943813321872881,7.7436,62.67032091186253,22,nhbe_vix_rising
2015-09-16,2015-10-08,4139.798296231553,profit_target,-17.03196898963128,3.5174,69.10230984045587,16,nhbe_vix_rising
2016-01-29,2016-03-01,4123.318266262372,profit_target,-16.030807103856432,3.7519,68.55517046408238,21,nhbe_vix_rising
2018-11-09,2018-12-17,-7288.299426830599,roll_21dte,-19.300583841975254,3.1381,-120.33417395780674,24,nhbe_vix_rising
2019-01-10,2019-02-14,1859.3260449178604,roll_21dte,-20.355716886524334,2.861,31.92649869353871,24,nhbe_vix_rising
2004-11-02,2004-11-15,6507.241930657109,roll_21dte,-7.554168775602051,9.204,93.5909078212845,9,nnb_vix_rising
