date,ivp,vix,trend,anchor_spx,fwd_21d_ret,fwd_21d_dir,fwd_34d_ret,fwd_34d_dir,fwd_60d_ret,fwd_60d_dir
2014-12-01,MID,14.16,BULLISH,2053.44,0.0122,UP,-0.016,DOWN,-0.0285,DOWN
2014-12-02,MID,12.85,BULLISH,2066.55,0.0076,FLAT,-0.0222,DOWN,-0.0221,DOWN
2014-12-03,LOW,12.5,BULLISH,2074.33,0.0036,FLAT,-0.0346,DOWN,-0.0258,DOWN
2014-12-04,LOW,12.38,BULLISH,2071.92,0.0081,FLAT,-0.0222,DOWN,-0.0246,DOWN
2014-12-05,LOW,11.89,BULLISH,2075.37,0.0065,FLAT,-0.0064,FLAT,-0.0122,DOWN
2014-12-08,MID,14.21,BULLISH,2060.31,0.0147,UP,-0.0156,DOWN,-0.0023,FLAT
2014-12-24,MID,14.37,BULLISH,2081.88,-0.0339,DOWN,-0.0251,DOWN,0.0133,UP
2014-12-26,HIGH,14.5,BULLISH,2088.77,-0.0332,DOWN,-0.0323,DOWN,0.0128,UP
2015-02-13,MID,14.69,BULLISH,2096.99,-0.0123,DOWN,-0.0037,FLAT,-0.0005,FLAT
2015-02-20,MID,14.3,BULLISH,2110.3,-0.027,DOWN,-0.0257,DOWN,-0.0062,FLAT
2015-02-23,MID,14.56,BULLISH,2109.66,-0.0135,DOWN,-0.0111,DOWN,0.0038,FLAT
2015-02-24,MID,13.69,BULLISH,2115.48,-0.0195,DOWN,-0.0138,DOWN,-0.0031,FLAT
2015-02-25,MID,13.84,BULLISH,2113.86,-0.0068,FLAT,-0.0217,DOWN,-0.0023,FLAT
2015-02-26,MID,13.91,BULLISH,2110.74,-0.0102,DOWN,-0.0242,DOWN,-0.0009,FLAT
2015-02-27,MID,13.34,BULLISH,2104.5,0.0017,FLAT,-0.0178,DOWN,0.0049,FLAT
2015-03-02,MID,13.04,BULLISH,2117.39,-0.0061,FLAT,-0.0174,DOWN,-0.0043,FLAT
2015-03-03,MID,13.86,BULLISH,2107.78,-0.0077,FLAT,-0.0129,DOWN,0.0032,FLAT
2015-03-04,MID,14.23,BULLISH,2098.53,-0.0179,DOWN,-0.0106,DOWN,0.0076,FLAT
2015-03-05,MID,14.04,BULLISH,2101.04,-0.0214,DOWN,-0.0091,FLAT,0.0064,FLAT
